feature,missing_fraction_before_semantic_recode,missing_percentage_before_semantic_recode,missing_threshold,kept,drop_reason
Mix Constitutents | Binder | Cement Amount (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Binder | Cement type,0.009165460684997588,0.9165460684997588,0.5,True,
Mix Constitutents | Binder | Cement Grade (Mpa),0.3854317414375302,38.54317414375302,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Fly Ash Type,0.7949831162566329,79.49831162566329,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Type of Slag,0.9556198745779064,95.56198745779064,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Nano Particles | Nano Silica (kg/m3),0.0,0.0,0.5,True,
Mix Constitutents | Sustainable Filler | Filler (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Sustainable Filler | Type of Filler,0.8263386396526773,82.63386396526772,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Sand | Amount (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Sand | Sand Type,0.039556198745779064,3.9556198745779065,0.5,True,
Mix Constitutents | Sand | Max Size (mm),0.1336227689339122,13.36227689339122,0.5,True,
Mix Constitutents | Fiber | Type of Fiber,0.3227206946454414,32.27206946454414,0.5,True,
Mix Constitutents | Fiber | Amount / Quantity of Fiber,0.3227206946454414,32.27206946454414,0.5,True,
Mix Constitutents | Fiber | Length (mm),0.32609744331886154,32.609744331886155,0.5,True,
Mix Constitutents | Fiber | Diameter (mm),0.3256150506512301,32.56150506512301,0.5,True,
Mix Constitutents | Fiber | Tensile Strength (MPa),0.5701881331403763,57.01881331403763,0.5,False,missing_fraction_above_0.5
"Mix Constitutents | Fiber | Nominal Young’s modulus, Gpa",0.839845634346358,83.98456343463579,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Synergetic Fiber | Type of Fiber,0.9430776652194887,94.30776652194886,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Synergetic Fiber | Amount / Quantity of Fiber,0.9430776652194887,94.30776652194886,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Synergetic Fiber | Length (mm),0.9430776652194887,94.30776652194886,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Synergetic Fiber | Diameter (mm),0.9430776652194887,94.30776652194886,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Synergetic Fiber | Tensile Strength (MPa),0.9556198745779064,95.56198745779064,0.5,False,missing_fraction_above_0.5
"Mix Constitutents | Synergetic Fiber | Nominal Young’s modulus, Gpa",0.9720212252773758,97.20212252773757,0.5,False,missing_fraction_above_0.5
Mix Constitutents | Water | Amount (kg/m³),0.0,0.0,0.5,True,
Mix Constitutents | Superplasticizer | Type of Superplasticizer,0.05788712011577424,5.788712011577424,0.5,True,
Mix Constitutents | Superplasticizer | Amount (kg/m³),0.003859141341051616,0.3859141341051616,0.5,True,
Curing Regime | Curing,0.0,0.0,0.5,True,
Curing Regime | Temperature (o C),0.07621804148576941,7.621804148576941,0.5,True,
Curing Regime | Humidity (%),0.5957549445248432,59.57549445248432,0.5,False,missing_fraction_above_0.5
Curing Regime | Pressure (MPa),1.0,100.0,0.5,False,missing_fraction_above_0.5
