Mix Constitutents | Binder | Cement Amount (kg/m³),Mix Constitutents | Binder | Cement type,Mix Constitutents | Binder | Cement Grade (Mpa),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Fly Ash Type,Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Type of Slag,Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),Mix Constitutents | Nano Particles | Nano Silica (kg/m3),Mix Constitutents | Sustainable Filler | Filler (kg/m³),Mix Constitutents | Sustainable Filler | Type of Filler,Mix Constitutents | Sand | Amount (kg/m³),Mix Constitutents | Sand | Sand Type,Mix Constitutents | Sand | Max Size (mm),Mix Constitutents | Fiber | Type of Fiber,Mix Constitutents | Fiber | Amount / Quantity of Fiber,Mix Constitutents | Fiber | Length (mm),Mix Constitutents | Fiber | Diameter (mm),Mix Constitutents | Fiber | Tensile Strength (MPa),"Mix Constitutents | Fiber | Nominal Young’s modulus, Gpa",Mix Constitutents | Synergetic Fiber | Type of Fiber,Mix Constitutents | Synergetic Fiber | Amount / Quantity of Fiber,Mix Constitutents | Synergetic Fiber | Length (mm),Mix Constitutents | Synergetic Fiber | Diameter (mm),Mix Constitutents | Synergetic Fiber | Tensile Strength (MPa),"Mix Constitutents | Synergetic Fiber | Nominal Young’s modulus, Gpa",Mix Constitutents | Water | Amount (kg/m³),Mix Constitutents | Superplasticizer | Type of Superplasticizer,Mix Constitutents | Superplasticizer | Amount (kg/m³),Curing Regime | Curing,Curing Regime | Temperature (o C),Curing Regime | Humidity (%),Curing Regime | Pressure (MPa),Mechanical Properties | Compressive Strength (Mpa) | 28-Day
839.0,Type I/II low-alkali portland cement,,104.0,104.0,Class-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,919.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,56.5,Standard Curing,,,,135.0
839.0,Type I/II low-alkali portland cement,,104.0,52.0,Class-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,52.0,Pumicite,925.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,59.33,Standard Curing,,,,132.0
839.0,Type I/II low-alkali portland cement,,104.0,26.0,Class-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,78.0,Pumicite,931.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,59.33,Standard Curing,,,,122.5
839.0,Type I/II low-alkali portland cement,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,104.0,Pumicite,931.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,62.15,Standard Curing,,,,116.0
839.0,Type I/II low-alkali portland cement,,104.0,52.0,Class-F,0.0,0.0,0.0,0.0,52.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,913.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing,,,,134.0
839.0,Type I/II low-alkali portland cement,,104.0,26.0,Class-F,0.0,0.0,0.0,0.0,78.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,921.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing,,,,131.5
839.0,Type I/II low-alkali portland cement,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,104.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,922.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,67.8,Standard Curing,,,,130.5
839.0,Type I/II low-alkali portland cement,,104.0,83.0,Class-F,0.0,0.0,0.0,0.0,0.0,21.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,920.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,59.33,Standard Curing,,,,134.5
839.0,Type I/II low-alkali portland cement,,104.0,62.0,Class-F,0.0,0.0,0.0,0.0,0.0,42.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,921.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,62.15,Standard Curing,,,,132.5
839.0,Type I/II low-alkali portland cement,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,52.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,52.0,Pumicite,926.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing,,,,123.0
839.0,Type I/II low-alkali portland cement,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,62.0,21.0,0.0,not_applicable,0.0,0.0,0.0,0.0,21.0,Pumicite,923.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,67.8,Standard Curing,,,,131.0
839.0,Type I/II low-alkali portland cement,,94.0,0.0,not_applicable,0.0,0.0,0.0,0.0,94.0,21.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,926.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,67.8,Standard Curing,,,,130.0
755.0,Type I/II low-alkali portland cement,,94.0,0.0,not_applicable,0.0,0.0,0.0,0.0,94.0,105.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,928.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing,,,,111.5
839.0,Type I/II low-alkali portland cement,,78.0,0.0,not_applicable,0.0,0.0,0.0,0.0,104.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,26.0,Pumicite,940.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,62.15,Standard Curing,,,,119.0
839.0,Type I/II low-alkali portland cement,,78.0,0.0,not_applicable,0.0,0.0,0.0,0.0,130.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,934.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,64.98,Standard Curing,,,,121.0
839.0,Type I/II low-alkali portland cement,,52.0,0.0,not_applicable,0.0,0.0,0.0,0.0,156.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,946.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,1900.0,,not_applicable,0.0,,,,,147.0,Polycarboxylate-based HRWRA,62.15,Standard Curing,,,,116.0
856.0,Portland cement,42.5,214.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1178.0,Quartz Sand,0.8,Straight Steel Fibers,160.0,13.0,0.2,2000.0,,not_applicable,0.0,,,,,182.0,High Performance Water-Reducing (SP),24.6,Standard Curing,20.0,95.0,,157.0
589.0,Portland cement,42.5,214.0,161.0,Class-F,0.0,0.0,0.0,0.0,0.0,107.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1178.0,Quartz Sand,0.8,Straight Steel Fibers,160.0,13.0,0.2,2000.0,,not_applicable,0.0,,,,,182.0,High Performance Water-Reducing (SP),16.1,Standard Curing,20.0,95.0,,164.0
375.0,Portland cement,42.5,214.0,161.0,Class-F,0.0,0.0,0.0,0.0,0.0,321.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1178.0,Quartz Sand,0.8,Straight Steel Fibers,160.0,13.0,0.2,2000.0,,not_applicable,0.0,,,,,182.0,High Performance Water-Reducing (SP),9.1,Standard Curing,20.0,95.0,,144.0
1000.0,Portland cement,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,162.0
900.0,Portland cement,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,100.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,167.0
800.0,Portland cement,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,200.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,157.0
700.0,Portland cement,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,300.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,156.0
500.0,Portland cement,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,500.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,152.0
300.0,Portland cement,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,700.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,132.0
1000.0,Portland cement,52.5,175.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,75.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,168.0
1000.0,Portland cement,52.5,125.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,125.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,152.0
1000.0,Portland cement,52.5,75.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,175.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,150.0
1000.0,Portland cement,52.5,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,250.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,147.0
700.0,Portland cement,52.5,175.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,375.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,166.0
700.0,Portland cement,52.5,125.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,425.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,150.0
700.0,Portland cement,52.5,75.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,475.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,147.0
700.0,Portland cement,52.5,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,550.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,137.0
300.0,Portland cement,52.5,175.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,775.0,Recycled Brick Powder,1250.0,Silica sand,0.3,Straight Steel Fibers,156.0,12.0,0.2,,,not_applicable,0.0,,,,,225.0,"high-performance polycarboxylate 
superplasticizer",24.8,Standard Curing,20.0,50.0,,130.0
