semantic_row_id,mix_id,publication_country,publication_source,publication_year,publication_reference_id,publication_group
0,S10-F10,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
1,S10-F5-N5,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
2,S10-F2.5-N7.5,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
3,S10-N10,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
4,S10-F5-M5,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
5,S10-F2.5-M7.5,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
6,S10-M10,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
7,S10-F8-G2,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
8,S10-F6-G4,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
9,S10-N5-M5,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
10,S10-N2-M6-G2,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022.0,Ref-1-data,Ref-1-data
