,missing_count,missing_percentage
Durability Properities | Surface Resistivity | Surface Resistivity (kΩ-mm),2175,99.40585009140767
Mechanical Properties | Compressive Strength (Mpa) | 21 days,2175,99.40585009140767
Durability Properities | Surface Resistivity | Testing Standards,2175,99.40585009140767
Durability Properities | Freezing and Thawing | Testing Standards,2166,98.99451553930531
Durability Properities | Freezing and Thawing | Cycles,2166,98.99451553930531
Durability Properities | Water absorption | Water absorption (%),2165,98.94881170018282
Durability Properities | Water absorption | Testing Standards,2165,98.94881170018282
Workability | Slump (mm),2159,98.6745886654479
Mechanical Properties | Tensile Strength Parameters | Tensile Elastic Modulus (GPa),2153,98.40036563071298
Durability Properities | Air Content/Air Void/ Porosity | Air Void %,2150,98.26325411334552
Mechanical Properties | Tensile Strength Parameters | Peak tensile strain (%),2146,98.08043875685559
Durability Properities | Air Content/Air Void/ Porosity | Air Content %,2141,97.85191956124314
"Mix Constitutents | Synergetic Fiber | Nominal Young’s modulus, Gpa",2130,97.3491773308958
Mechanical Properties | Flexural Strength Parameters | LOP (Mpa),2122,96.9835466179159
Durability Properities | Shrinkage (µϵ) | 56-day Shrinkage (µstrain),2122,96.9835466179159
Mechanical Properties | Flexural Strength Parameters | Residual Strength (f600) (MPa),2120,96.89213893967093
Curing Regime | Pressure (MPa),2117,96.75502742230347
Mechanical Properties | Flexural Strength Parameters | Residual Strength (f150) (MPa),2115,96.66361974405851
Durability Properities | Shrinkage (µϵ) | Testing Standards,2107,96.29798903107861
Mix Constitutents | Synergetic Fiber | Tensile Strength (MPa),2096,95.79524680073126
Mechanical Properties | Tensile Strength Parameters | first-cracking strength (MPa),2085,95.29250457038391
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Type of Slag,2080,95.06398537477148
Durability Properities | Rapid Chloride Permeability Test | Testing Standards,2080,95.06398537477148
Durability Properities | Rapid Chloride Permeability Test | Total Charge Passed (Coulombs),2080,95.06398537477148
Durability Properities | Shrinkage (µϵ) | 28-day Shrinkage (µstrain),2076,94.88117001828154
Mix Constitutents | Synergetic Fiber | Type of Fiber,2070,94.6069469835466
Mix Constitutents | Synergetic Fiber | Diameter (mm),2070,94.6069469835466
Mix Constitutents | Synergetic Fiber | Length (mm),2069,94.56124314442414
Mix Constitutents | Synergetic Fiber | Amount / Quantity of Fiber,2067,94.46983546617916
Mechanical Properties | Compressive Strength (Mpa) | 1-day,2062,94.24131627056673
Mechanical Properties | Tensile Strength Parameters | Strain capacity (%),2058,94.05850091407679
Mechanical Properties | Compressive Strength (Mpa) | 14-Day,2055,93.92138939670932
