column,missing_before_numeric_coercion,missing_after_numeric_coercion,new_missing_from_numeric_coercion
Mix Constitutents | Binder | Cement Amount (kg/m³),0,0,0
Mix Constitutents | Binder | Cement Grade (Mpa),799,799,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Silica Fume (kg/m³),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Flayash Amount (kg/m³),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Limestone Powder (kg/m3),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Quartzpowder (kg/m3),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Glass powder (kg/m3),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Rice husk ash (kg/m3),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Metakaolin (kg/m³),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | GGBFS (kg/m³),0,0,0
Mix Constitutents | Supplementary Cementitious Materials (SCMs) | Slag Amount (kg/m³),0,0,0
Mix Constitutents | Nano Particles | Nano-CaCO3 (kg/m3),0,0,0
Mix Constitutents | Nano Particles | Nano-Al2O3 (kg/m3),0,0,0
Mix Constitutents | Nano Particles | Nano-TiO2 (kg/m3),0,0,0
Mix Constitutents | Nano Particles | Nano Silica (kg/m3),0,0,0
Mix Constitutents | Sustainable Filler | Filler (kg/m³),0,0,0
Mix Constitutents | Sand | Amount (kg/m³),0,0,0
Mix Constitutents | Sand | Max Size (mm),277,277,0
Mix Constitutents | Fiber | Amount / Quantity of Fiber,669,669,0
Mix Constitutents | Fiber | Length (mm),676,676,0
Mix Constitutents | Fiber | Diameter (mm),675,675,0
Mix Constitutents | Fiber | Tensile Strength (MPa),1182,1182,0
"Mix Constitutents | Fiber | Nominal Young’s modulus, Gpa",1741,1741,0
Mix Constitutents | Synergetic Fiber | Amount / Quantity of Fiber,1952,1955,3
Mix Constitutents | Synergetic Fiber | Length (mm),1954,1955,1
Mix Constitutents | Synergetic Fiber | Diameter (mm),1955,1955,0
Mix Constitutents | Synergetic Fiber | Tensile Strength (MPa),1981,1981,0
"Mix Constitutents | Synergetic Fiber | Nominal Young’s modulus, Gpa",2015,2015,0
Mix Constitutents | Water | Amount (kg/m³),0,0,0
Mix Constitutents | Superplasticizer | Amount (kg/m³),8,8,0
Curing Regime | Temperature (o C),158,158,0
Curing Regime | Humidity (%),1235,1235,0
Curing Regime | Pressure (MPa),2002,2073,71
