policy,feature,status,reason
shared_semantic_recoding_50_percent,cement,kept,
shared_semantic_recoding_50_percent,silica_fume,kept,
shared_semantic_recoding_50_percent,fly_ash,kept,
shared_semantic_recoding_50_percent,limestone_powder,kept,
shared_semantic_recoding_50_percent,quartz_powder,kept,
shared_semantic_recoding_50_percent,glass_powder,kept,
shared_semantic_recoding_50_percent,rice_husk_ash,kept,
shared_semantic_recoding_50_percent,metakaolin,kept,
shared_semantic_recoding_50_percent,ggbfs,kept,
shared_semantic_recoding_50_percent,slag,kept,
shared_semantic_recoding_50_percent,nano_caco3,kept,
shared_semantic_recoding_50_percent,nano_al2o3,kept,
shared_semantic_recoding_50_percent,nano_tio2,kept,
shared_semantic_recoding_50_percent,nano_sio2,kept,
shared_semantic_recoding_50_percent,filler,kept,
shared_semantic_recoding_50_percent,sand,kept,
shared_semantic_recoding_50_percent,sand_max_size,kept,
shared_semantic_recoding_50_percent,fiber1_amount,kept,
shared_semantic_recoding_50_percent,fiber1_length,kept,
shared_semantic_recoding_50_percent,fiber1_diameter,kept,
shared_semantic_recoding_50_percent,fiber2_amount,kept,
shared_semantic_recoding_50_percent,water,kept,
shared_semantic_recoding_50_percent,sp_amount,kept,
shared_semantic_recoding_50_percent,curing_temp,kept,
