column,feature_type,train_rows,missing_count_train,missing_percentage_train
sand_max_size,numeric,1449,196,13.526570048309178
curing_temp,numeric,1449,100,6.901311249137336
sp_amount,numeric,1449,5,0.3450655624568668
cement,numeric,1449,0,0.0
cement_type,categorical,1449,0,0.0
curing_method,categorical,1449,0,0.0
fiber1_amount,numeric,1449,0,0.0
fiber1_diameter,numeric,1449,0,0.0
fiber1_length,numeric,1449,0,0.0
fiber1_type,categorical,1449,0,0.0
fiber2_amount,numeric,1449,0,0.0
fiber2_type,categorical,1449,0,0.0
filler,numeric,1449,0,0.0
filler_type,categorical,1449,0,0.0
fly_ash,numeric,1449,0,0.0
fly_ash_type,categorical,1449,0,0.0
ggbfs,numeric,1449,0,0.0
glass_powder,numeric,1449,0,0.0
limestone_powder,numeric,1449,0,0.0
metakaolin,numeric,1449,0,0.0
nano_al2o3,numeric,1449,0,0.0
nano_caco3,numeric,1449,0,0.0
nano_sio2,numeric,1449,0,0.0
nano_tio2,numeric,1449,0,0.0
quartz_powder,numeric,1449,0,0.0
rice_husk_ash,numeric,1449,0,0.0
sand,numeric,1449,0,0.0
sand_type,categorical,1449,0,0.0
silica_fume,numeric,1449,0,0.0
slag,numeric,1449,0,0.0
slag_type,categorical,1449,0,0.0
sp_type,categorical,1449,0,0.0
water,numeric,1449,0,0.0
