source_column,shared_feature_group,dtype_in_training,missing_count_train,unique_values_train,final_transformed_columns_total
cement,numeric_scaled,float64,0,308,60
silica_fume,numeric_scaled,float64,0,224,60
fly_ash,numeric_scaled,float64,0,84,60
limestone_powder,numeric_scaled,float64,0,33,60
quartz_powder,numeric_scaled,float64,0,83,60
glass_powder,numeric_scaled,float64,0,82,60
rice_husk_ash,numeric_scaled,float64,0,13,60
metakaolin,numeric_scaled,float64,0,27,60
ggbfs,numeric_scaled,float64,0,47,60
slag,numeric_scaled,float64,0,34,60
nano_caco3,numeric_scaled,float64,0,10,60
nano_al2o3,numeric_scaled,float64,0,2,60
nano_tio2,numeric_scaled,float64,0,2,60
nano_sio2,numeric_scaled,float64,0,28,60
filler,numeric_scaled,float64,0,77,60
sand,numeric_scaled,float64,0,353,60
sand_max_size,numeric_scaled,float64,196,33,60
fiber1_amount,numeric_scaled,float64,0,102,60
fiber1_length,numeric_scaled,float64,0,23,60
fiber1_diameter,numeric_scaled,float64,0,26,60
fiber2_amount,numeric_scaled,float64,0,28,60
water,numeric_scaled,float64,0,223,60
sp_amount,numeric_scaled,float64,5,295,60
curing_temp,numeric_scaled,float64,100,19,60
fly_ash_type,one_hot_encoded,str,0,4,60
slag_type,one_hot_encoded,str,0,6,60
fiber2_type,one_hot_encoded,str,0,7,60
sp_type,one_hot_encoded,str,0,8,60
curing_method,one_hot_encoded,str,0,7,60
cement_type,target_encoded_scaled,str,0,11,60
filler_type,target_encoded_scaled,str,0,18,60
sand_type,target_encoded_scaled,str,0,23,60
fiber1_type,target_encoded_scaled,str,0,12,60
