model,candidate_parameters,rank_cv_RMSE,mean_cv_RMSE,std_cv_RMSE,mean_train_cv_RMSE,mean_fit_time_seconds,std_fit_time_seconds
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.7}",1,24.280671369734872,0.6775316686252157,22.28610254240918,0.01230168342590332,0.00020885394951216703
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.9}",2,24.284421239058258,0.6449227461845815,22.237313158521,0.01643967628479004,0.00017885091187352887
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.5}",3,24.289942876410663,0.695590431140091,22.33085889933106,0.011361201604207357,0.0001355429134957234
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.3}",4,24.30132539582968,0.7077135337761263,22.369977437695216,0.010973056157430014,4.509592869689153e-05
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.1}",5,24.306682717669016,0.6180082416088774,22.218878758734945,0.0272671381632487,0.0010287737530173704
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.3}",6,24.311752395628286,0.6125538773488863,22.215729337097386,0.02824886639912923,0.000829219688630979
Elastic Net,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.1}",7,24.312810982775854,0.7160250373276855,22.404326548178663,0.01098163922627767,0.00019304096673721408
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.5}",8,24.317828974580067,0.6062884828031636,22.213187502287685,0.03234704335530599,0.0015044443495140529
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.7}",9,24.325233096197838,0.5993396735274342,22.211570503759656,0.04388324419657389,0.0014241185167995357
Elastic Net,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.9}",10,24.33574849224635,0.5909736371680795,22.21140833358611,0.08739328384399414,0.002575141667664891
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.9}",11,24.428090968115693,0.8082406588466603,22.682014928264987,0.00992425282796224,9.266221906484355e-05
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",12,24.498804860390617,0.777213978347892,22.829544525899276,0.00958561897277832,7.46622033536151e-05
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",13,24.533935991086356,0.7484061481721604,22.91917106712202,0.009561697642008463,7.97467281283711e-05
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.3}",14,24.558204103897804,0.7219456143838008,22.98835092992032,0.009636799494425455,0.00026161789450829785
Elastic Net,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",15,24.578133856212556,0.6976841855727013,23.046076853530774,0.009589433670043945,2.9456677360217453e-05
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.9}",16,25.10644315934856,0.6230762401863472,23.928437156175004,0.00907603899637858,4.810360310043372e-05
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.7}",17,25.279697485017824,0.4556307212332989,24.237624345987943,0.008973916371663412,5.7988944715574576e-05
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.5}",18,25.521706605096302,0.366467902490318,24.56058323127894,0.008995771408081055,5.119101000269308e-05
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.3}",19,25.765149248989093,0.31823608459863234,24.872556418660782,0.009061257044474283,1.3717301057428626e-05
Elastic Net,"{""model__alpha"": 1.0, ""model__l1_ratio"": 0.1}",20,25.9971466213339,0.30090995231021855,25.159013058274297,0.009063720703125,2.939486115457693e-05
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.9}",21,31.85333383396127,0.6051515116573974,31.530800503574785,0.009086052576700846,0.00023508654908092525
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.1}",22,32.36573303995791,0.55418287799957,32.17773075920596,0.008928696314493815,5.185639112118019e-05
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.7}",23,32.468587345970136,0.6079144149324686,32.26022785759997,0.00882871945699056,4.911435589161388e-05
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.3}",24,32.509577428549214,0.5493415888044578,32.33409996402171,0.008872906366984049,2.2084591137184105e-05
Elastic Net,"{""model__alpha"": 10.0, ""model__l1_ratio"": 0.5}",25,32.56674380274679,0.5715767707502927,32.38969406633416,0.00889293352762858,3.143832221048086e-05
Bayesian Ridge,"{""model__alpha_1"": 1e-05, ""model__lambda_1"": 1e-07}",1,24.382700162358706,0.7402242845143661,22.592253224431577,0.010757843653361002,0.00014167846721952786
Bayesian Ridge,"{""model__alpha_1"": 1e-06, ""model__lambda_1"": 1e-07}",2,24.382700165903472,0.7402242847318209,22.59225323326552,0.010707934697469076,6.0657839129771506e-05
Bayesian Ridge,"{""model__alpha_1"": 1e-07, ""model__lambda_1"": 1e-07}",3,24.382700166257948,0.7402242847535663,22.59225323414891,0.011015733083089193,0.0003124510020267623
Bayesian Ridge,"{""model__alpha_1"": 1e-05, ""model__lambda_1"": 1e-06}",4,24.382700171258886,0.7402242850617623,22.592253246612525,0.010759592056274414,7.5900284109267e-05
Bayesian Ridge,"{""model__alpha_1"": 1e-06, ""model__lambda_1"": 1e-06}",5,24.382700174803645,0.7402242852792162,22.59225325544646,0.010693709055582682,0.00018727364145298847
Bayesian Ridge,"{""model__alpha_1"": 1e-07, ""model__lambda_1"": 1e-06}",6,24.38270017515812,0.7402242853009616,22.592253256329855,0.010706663131713867,9.717090364787019e-05
Bayesian Ridge,"{""model__alpha_1"": 1e-05, ""model__lambda_1"": 1e-05}",7,24.382700260260616,0.740224290535693,22.592253468422,0.010724623998006185,0.00010941176115508075
Bayesian Ridge,"{""model__alpha_1"": 1e-06, ""model__lambda_1"": 1e-05}",8,24.38270026380538,0.7402242907531505,22.592253477255937,0.010775407155354818,9.722808525368929e-05
Bayesian Ridge,"{""model__alpha_1"": 1e-07, ""model__lambda_1"": 1e-05}",9,24.382700264159855,0.7402242907748959,22.59225347813933,0.010944763819376627,0.000186954256493412
Polynomial Ridge,"{""model__alpha"": 100.0, ""poly__degree"": 2}",1,18.638057171775927,0.6923692357988417,12.320195536311717,0.04614408810933431,0.0010145523883157658
Polynomial Ridge,"{""model__alpha"": 1000.0, ""poly__degree"": 2}",2,19.60119769427587,0.3080173605359788,15.967157601426967,0.03009653091430664,0.0008425513113856156
Polynomial Ridge,"{""model__alpha"": 10.0, ""poly__degree"": 2}",3,22.790340468215003,3.3157397742125982,11.683548192240595,0.07762972513834636,0.0031248811969567815
Polynomial Ridge,"{""model__alpha"": 1.0, ""poly__degree"": 2}",4,33.45609470173107,9.31734201026629,14.03047034993196,0.14914178848266602,0.005960880274574931
Polynomial Ridge,"{""model__alpha"": 0.1, ""poly__degree"": 2}",5,46.78668159043273,8.001898013081721,17.656023432680886,0.2598073482513428,0.004774532204780775
