item,value
shared_publication_ready_path,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/data/processed/shared_strategies/uhpc_semantic_50/uhpc_semantic_50_publication_ready.csv
shared_publication_ready_sha256,4d1add503a3876749999a20e48fb11da43ff5738e880ebd05ca07e4b07e1a186
week07_linear_ready_path,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/data/processed/shared_strategies/uhpc_semantic_50/uhpc_semantic_50_modeling.csv
week07_linear_ready_sha256,4db56c77c5c84dedd3fe264600f8117dd8b65ea6b055eee1c47dde6b9dc965f6
semantic_source_rows,2073
lineage_source_rows,2073
rows_with_missing_target_removed,0
exact_duplicate_rows_removed,0
exact_duplicate_rows_kept_by_policy,49
week08_modeling_rows,2073
week08_modeling_columns_including_target,34
week08_lineage_rows,2073
publication_groups,165
missing_publication_groups,0
metadata_columns_in_predictors,0
matches_week07_linear_ready_exactly,True
semantic_row_ids_unique,True
modeling_row_ids_unique,True
