publication_group,publication_reference_id,publication_source,publication_country,publication_year,n_rows,target_mean,target_std,target_min,target_max,missing_cells_total,missing_cells_per_row_mean,fiber_used_percentage,eligible_for_reliable_publication_metrics,dominant_curing_method,cement_min,cement_max,silica_fume_min,silica_fume_max,fly_ash_min,fly_ash_max,ggbfs_min,ggbfs_max,slag_min,slag_max,water_min,water_max,sand_min,sand_max,sp_amount_min,sp_amount_max,fiber1_amount_min,fiber1_amount_max,curing_temp_min,curing_temp_max
Ref-144-Research,Ref-144-Research,shared_semantic_dataset,,,112,157.05357142857142,30.065945323755717,90.0,229.0,0,0.0,35.714285714285715,True,Heat Curing,630.0,1071.0,111.0,266.4,0.0,0.0,0.0,0.0,0.0,0.0,160.0,210.0,650.0,1100.0,30.0,40.0,0.0,150.0,20.0,90.0
Ref-121-Research,Ref-121-Research,shared_semantic_dataset,,,80,165.075,29.25262078489396,110.0,225.0,0,0.0,60.0,True,Standard Curing,436.0,812.0,102.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,239.0,436.0,975.0,8.0,56.2,0.0,158.0,23.0,90.0
Ref-141-Research,Ref-141-Research,shared_semantic_dataset,,,73,132.5068493150685,12.572990548163189,105.4,163.7,0,0.0,0.0,True,Standard Curing,923.08,923.08,184.62,184.62,92.31,92.31,0.0,0.0,0.0,0.0,177.23,243.69,1015.38,1015.38,16.62,16.62,0.0,0.0,20.0,90.0
Ref-48-Research,Ref-48-Research,shared_semantic_dataset,,,72,188.10416666666666,28.478054004077507,100.0,234.0,24,0.3333333333333333,95.83333333333334,True,Heat Curing,850.0,950.0,222.0,260.0,0.0,0.0,0.0,0.0,0.0,850.0,168.0,222.0,0.0,1030.0,12.7,45.0,0.0,234.0,70.0,160.0
Ref-85-Research,Ref-85-Research,shared_semantic_dataset,,,64,173.25,30.633004298973884,112.0,232.0,0,0.0,75.0,True,Standard Curing,960.0,960.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,224.64,299.52,960.0,960.0,9.98,24.96,0.0,234.0,22.0,22.0
Ref-139-Research,Ref-139-Research,shared_semantic_dataset,,,51,134.10196078431372,19.948468514611125,80.0,169.3,0,0.0,43.13725490196079,True,Steam Curing,517.54,1234.4,63.97,308.6,0.0,1152.0,0.0,0.0,0.0,0.0,208.8,308.6,0.0,1994.0,34.1,151.7,0.0,468.0,90.0,90.0
Ref-135-Research,Ref-135-Research,shared_semantic_dataset,,,43,115.47209302325582,18.623824035504267,83.4,147.2,20,0.46511627906976744,51.162790697674424,False,Heat Curing,890.0,890.0,169.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,334.0,549.0,1059.0,50.0,59.0,0.0,119.0,90.0,90.0
Ref-153-Research,Ref-153-Research,shared_semantic_dataset,,,43,158.50864338786494,26.327415936600648,97.0212765957446,206.25,0,0.0,100.0,False,Steam Curing,788.5,788.5,197.1,197.1,0.0,0.0,0.0,0.0,0.0,0.0,160.3,160.3,867.4,867.4,52.6,52.6,19.4,158.0,90.0,90.0
Ref-116-Research,Ref-116-Research,shared_semantic_dataset,,,36,152.6277777777778,14.513001286749972,134.2,182.2,0,0.0,97.22222222222221,False,Steam Curing,972.0,972.0,271.5,271.5,0.0,0.0,0.0,0.0,0.0,0.0,223.83,223.83,1049.76,1049.76,24.3,24.3,0.0,234.0,90.0,90.0
Ref-65-Research,Ref-65-Research,shared_semantic_dataset,,,30,237.33333333333334,27.839854009393942,167.0,281.0,0,0.0,100.0,False,Autoclave Curing,332.0,830.0,0.0,374.0,0.0,498.0,0.0,498.0,0.0,0.0,151.0,151.0,804.0,1316.0,32.0,65.0,234.0,234.0,210.0,210.0
Ref-70-Research,Ref-70-Research,shared_semantic_dataset,,,30,167.5,29.82564275111672,115.0,220.0,0,0.0,100.0,False,Autoclave Curing,374.7,856.5,214.1,214.1,0.0,0.0,0.0,0.0,0.0,0.0,184.0,184.0,1177.5,1177.5,19.7,25.5,120.0,120.0,20.0,180.0
Ref-101-Research,Ref-101-Research,shared_semantic_dataset,,,28,172.89285714285714,29.460342817791492,122.4,226.0,0,0.0,0.0,False,Heat Curing,687.0,1006.0,151.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,242.0,704.0,1030.0,8.0,27.0,0.0,0.0,23.0,90.0
Ref-13-Research,Ref-13-Research,shared_semantic_dataset,,,27,131.62222222222223,4.417041590279224,121.5,138.9,0,0.0,100.0,False,Standard Curing,1000.0,1200.0,150.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,172.5,300.0,384.6,976.81,12.65,53.25,157.0,157.0,22.0,22.0
Ref-21-Research,Ref-21-Research,shared_semantic_dataset,,,27,161.83333333333334,5.9404092063141185,152.0,172.0,27,1.0,100.0,False,Hot Water Curing,640.0,640.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,1170.0,1170.0,35.0,40.0,145.0,145.0,22.0,80.0
