publication_group,n_rows,split,target_row_count,target_publication_count,assignment_uses_target_values
Ref-144-Research,112,test,310.95,25,False
Ref-48-Research,72,test,310.95,25,False
Ref-65-Research,30,test,310.95,25,False
Ref-162-Research,19,test,310.95,25,False
Ref-160-Research,10,test,310.95,25,False
Ref-64-Research,8,test,310.95,25,False
Ref-161-Research,6,test,310.95,25,False
Ref-57-Research,6,test,310.95,25,False
Ref-55-Research,5,test,310.95,25,False
Ref-75-Research,5,test,310.95,25,False
Ref-32-Research,4,test,310.95,25,False
Ref-44-Research,4,test,310.95,25,False
Ref-9-Research,4,test,310.95,25,False
Ref-95-Research,4,test,310.95,25,False
Ref-108-Research,3,test,310.95,25,False
Ref-128-Research,3,test,310.95,25,False
Ref-109-Research,2,test,310.95,25,False
Ref-111-Research,2,test,310.95,25,False
Ref-133-Research,2,test,310.95,25,False
Ref-33-Research,2,test,310.95,25,False
Ref-68-Research,2,test,310.95,25,False
Ref-83-Research,2,test,310.95,25,False
Ref-89-Research,2,test,310.95,25,False
Ref-35-Research,1,test,310.95,25,False
Ref-97-Research,1,test,310.95,25,False
Ref-85-Research,64,train,1451.1,115,False
Ref-139-Research,51,train,1451.1,115,False
Ref-135-Research,43,train,1451.1,115,False
Ref-116-Research,36,train,1451.1,115,False
Ref-70-Research,30,train,1451.1,115,False
Ref-101-Research,28,train,1451.1,115,False
Ref-13-Research,27,train,1451.1,115,False
Ref-21-Research,27,train,1451.1,115,False
Ref-26-Research,26,train,1451.1,115,False
Ref-61-Research,26,train,1451.1,115,False
Ref-77-Research,26,train,1451.1,115,False
Ref-5-Research,25,train,1451.1,115,False
Ref-54-Research,24,train,1451.1,115,False
Ref-6-Research,24,train,1451.1,115,False
Ref-62-Research,24,train,1451.1,115,False
Ref-66-Research,24,train,1451.1,115,False
Ref-50-Research,21,train,1451.1,115,False
Ref-134-Research,20,train,1451.1,115,False
Ref-155-Research,20,train,1451.1,115,False
Ref-24-Research,20,train,1451.1,115,False
Ref-19-Research,19,train,1451.1,115,False
Ref-63-Research,19,train,1451.1,115,False
Ref-110-Research,18,train,1451.1,115,False
Ref-122-Research,18,train,1451.1,115,False
Ref-3-Research,18,train,1451.1,115,False
Ref-58-Research,18,train,1451.1,115,False
Ref-73-Research,18,train,1451.1,115,False
Ref-76-Research,18,train,1451.1,115,False
Ref-1-data,16,train,1451.1,115,False
Ref-102-Research,16,train,1451.1,115,False
Ref-107-Research,16,train,1451.1,115,False
Ref-125-Research,16,train,1451.1,115,False
Ref-147-Research,16,train,1451.1,115,False
Ref-15-Research,16,train,1451.1,115,False
Ref-168-Research,16,train,1451.1,115,False
Ref-98-Research,16,train,1451.1,115,False
Ref-157-Research,15,train,1451.1,115,False
Ref-30-Research,13,train,1451.1,115,False
Ref-36-Research,13,train,1451.1,115,False
Ref-142-Research,12,train,1451.1,115,False
Ref-18-Research,12,train,1451.1,115,False
Ref-23-Research,12,train,1451.1,115,False
Ref-59-Research,12,train,1451.1,115,False
Ref-69-Research,12,train,1451.1,115,False
Ref-90-Research,12,train,1451.1,115,False
Ref-123-Research,11,train,1451.1,115,False
Ref-150-Research,11,train,1451.1,115,False
Ref-16-Research,11,train,1451.1,115,False
Ref-25-Research,11,train,1451.1,115,False
Ref-74-Research,11,train,1451.1,115,False
Ref-103-Research,10,train,1451.1,115,False
Ref-124-Research,10,train,1451.1,115,False
Ref-14-Research,10,train,1451.1,115,False
Ref-156-Research,10,train,1451.1,115,False
Ref-17-Research,10,train,1451.1,115,False
Ref-20-Research,10,train,1451.1,115,False
Ref-38-Research,10,train,1451.1,115,False
Ref-39-Research,10,train,1451.1,115,False
Ref-47-Research,10,train,1451.1,115,False
Ref-60-Research,10,train,1451.1,115,False
Ref-82-Research,10,train,1451.1,115,False
Ref-93-Research,10,train,1451.1,115,False
Ref-99-Research,10,train,1451.1,115,False
Ref-29-Research,9,train,1451.1,115,False
Ref-67-Research,9,train,1451.1,115,False
Ref-91-Research,9,train,1451.1,115,False
Ref-100-Research,8,train,1451.1,115,False
Ref-104-Research,8,train,1451.1,115,False
Ref-34-Research,8,train,1451.1,115,False
Ref-53-Research,8,train,1451.1,115,False
Ref-88-Research,8,train,1451.1,115,False
Ref-96-Research,8,train,1451.1,115,False
Ref-10-Research,7,train,1451.1,115,False
Ref-105-Research,7,train,1451.1,115,False
Ref-145-Research,7,train,1451.1,115,False
Ref-37-Research,7,train,1451.1,115,False
Ref-42-Research,7,train,1451.1,115,False
Ref-45-Research,7,train,1451.1,115,False
Ref-46-Research,7,train,1451.1,115,False
Ref-130-Research,6,train,1451.1,115,False
Ref-138-Research,6,train,1451.1,115,False
Ref-140-Research,6,train,1451.1,115,False
Ref-165-Research,6,train,1451.1,115,False
Ref-22-Research,6,train,1451.1,115,False
Ref-27-Research,6,train,1451.1,115,False
Ref-49-Research,6,train,1451.1,115,False
Ref-51-Research,6,train,1451.1,115,False
Ref-7-Research,6,train,1451.1,115,False
Ref-84-Research,6,train,1451.1,115,False
Ref-114-Research,5,train,1451.1,115,False
Ref-115-Research,5,train,1451.1,115,False
Ref-117-Research,5,train,1451.1,115,False
Ref-118-Research,5,train,1451.1,115,False
Ref-126-Research,5,train,1451.1,115,False
Ref-159-Research,5,train,1451.1,115,False
Ref-163-Research,5,train,1451.1,115,False
Ref-31-Research,5,train,1451.1,115,False
Ref-43-Research,5,train,1451.1,115,False
Ref-56-Research,5,train,1451.1,115,False
Ref-72-Research,5,train,1451.1,115,False
Ref-78-Research,5,train,1451.1,115,False
Ref-94-Research,5,train,1451.1,115,False
Ref-11-Research ,4,train,1451.1,115,False
Ref-146-Research,4,train,1451.1,115,False
Ref-148-Research,4,train,1451.1,115,False
Ref-158-Research,4,train,1451.1,115,False
Ref-41-Research,4,train,1451.1,115,False
Ref-8-Research,4,train,1451.1,115,False
Ref-92-Research,4,train,1451.1,115,False
Ref-127-Research,3,train,1451.1,115,False
Ref-143-Research,3,train,1451.1,115,False
Ref-71-Research,3,train,1451.1,115,False
Ref-86-Research,3,train,1451.1,115,False
Ref-40-Research,2,train,1451.1,115,False
Ref-80-Research,2,train,1451.1,115,False
Ref-121-Research,80,validation,310.95,25,False
Ref-141-Research,73,validation,310.95,25,False
Ref-153-Research,43,validation,310.95,25,False
Ref-4-Research,20,validation,310.95,25,False
Ref-132-Research,12,validation,310.95,25,False
Ref-136-Research,9,validation,310.95,25,False
Ref-106-Research,8,validation,310.95,25,False
Ref-52-Research,6,validation,310.95,25,False
Ref-87-Research,6,validation,310.95,25,False
Ref-113-Research,5,validation,310.95,25,False
Ref-166-Research,5,validation,310.95,25,False
Ref-12-Research,4,validation,310.95,25,False
Ref-120-Research,4,validation,310.95,25,False
Ref-137-Research,4,validation,310.95,25,False
Ref-149-Research,4,validation,310.95,25,False
Ref-154-Research,4,validation,310.95,25,False
Ref-164-Research,4,validation,310.95,25,False
Ref-28-Research,4,validation,310.95,25,False
Ref-81-Research,4,validation,310.95,25,False
Ref-167-Research,3,validation,310.95,25,False
Ref-2-Research,3,validation,310.95,25,False
Ref-151-Research,2,validation,310.95,25,False
Ref-152-Research,2,validation,310.95,25,False
Ref-119-Research,1,validation,310.95,25,False
Ref-129-Research,1,validation,310.95,25,False
