policy,experiment,exploratory,model,split,row_position,Actual,Predicted,Residual,AbsoluteError,SquaredError,semantic_row_id,modeling_row_id,publication_country,publication_source,publication_year,publication_reference_id,publication_group
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,15,110.0,199.30088458332747,-89.30088458332747,89.30088458332747,7974.647987364774,1357,1357,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,6,132.0,212.09842265921608,-80.09842265921608,80.09842265921608,6415.75731249442,1348,1348,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,12,123.0,197.98554267842465,-74.98554267842465,74.98554267842465,5622.831610777845,1354,1354,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,95,229.0,161.98331287130307,67.01668712869693,67.01668712869693,4491.236353705653,1831,1831,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,5,139.0,205.75350506162215,-66.75350506162215,66.75350506162215,4456.030438012014,1347,1347,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,79,111.0,177.14747196800306,-66.14747196800306,66.14747196800306,4375.488047757751,1421,1421,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,50,86.3,150.48888864635958,-64.18888864635959,64.18888864635959,4120.213425654751,1641,1641,,shared_semantic_dataset,,Ref-139-Research,Ref-139-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,100,223.0,160.43895102437085,62.56104897562915,62.56104897562915,3913.884848931069,1836,1836,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,105,225.0,163.2297325419156,61.77026745808439,61.77026745808439,3815.5659418432792,1841,1841,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,41,208.0,146.4801320456614,61.519867954338594,61.519867954338594,3784.6941531192565,531,531,,shared_semantic_dataset,,Ref-48-Research,Ref-48-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,13,116.0,177.4762482276913,-61.476248227691286,61.476248227691286,3779.329096152716,1355,1355,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,48,232.0,170.58555048143688,61.41444951856312,61.41444951856312,3771.7346096681376,1036,1036,,shared_semantic_dataset,,Ref-85-Research,Ref-85-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,8,130.0,191.3186367331971,-61.31863673319711,61.31863673319711,3759.97521081779,498,498,,shared_semantic_dataset,,Ref-48-Research,Ref-48-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,52,226.0,166.96368188868465,59.03631811131535,59.03631811131535,3485.286856140421,1040,1040,,shared_semantic_dataset,,Ref-85-Research,Ref-85-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,7,132.0,190.93028137341105,-58.93028137341105,58.93028137341105,3472.778062749397,1349,1349,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,0,81.2,139.88641782396553,-58.68641782396553,58.68641782396553,3444.095637009059,1591,1591,,shared_semantic_dataset,,Ref-139-Research,Ref-139-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,49,229.0,170.3457637935586,58.6542362064414,58.6542362064414,3440.319424961021,1037,1037,,shared_semantic_dataset,,Ref-85-Research,Ref-85-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,76,123.0,181.2898339304527,-58.28983393045269,58.28983393045269,3397.7047396397534,1418,1418,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,52,158.0,215.93995298418037,-57.939952984180366,57.939952984180366,3357.038151809031,1394,1394,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,38,128.9,186.79019503133912,-57.89019503133912,57.89019503133912,3351.2746807664803,1629,1629,,shared_semantic_dataset,,Ref-139-Research,Ref-139-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,1,80.0,137.74499042326576,-57.74499042326576,57.74499042326576,3334.4839189830545,1592,1592,,shared_semantic_dataset,,Ref-139-Research,Ref-139-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,21,189.0,131.6980389589728,57.3019610410272,57.3019610410272,3283.514739147399,511,511,,shared_semantic_dataset,,Ref-48-Research,Ref-48-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,42,200.0,144.38101165266747,55.61898834733253,55.61898834733253,3093.471864780712,1778,1778,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,9,133.0,187.36972477988775,-54.36972477988775,54.36972477988775,2956.0669726407396,1351,1351,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,4,116.0,170.3674512852502,-54.36745128525021,54.36745128525021,2955.819759254055,494,494,,shared_semantic_dataset,,Ref-48-Research,Ref-48-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,0,102.0,155.5853581985616,-53.58535819856161,53.58535819856161,2871.3906132681536,490,490,,shared_semantic_dataset,,Ref-48-Research,Ref-48-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,53,220.0,166.7248543475579,53.27514565244209,53.27514565244209,2838.2411442889197,1041,1041,,shared_semantic_dataset,,Ref-85-Research,Ref-85-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,4,134.0,187.26617227134,-53.26617227134,53.26617227134,2837.28510844007,1346,1346,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,14,131.0,183.92182548843084,-52.92182548843084,52.92182548843084,2800.719613027928,1356,1356,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,23,130.0,181.68172162551318,-51.68172162551318,51.68172162551318,2671.0003501770366,1365,1365,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,61,219.0,167.4313174936083,51.568682506391696,51.568682506391696,2659.3290154450287,551,551,,shared_semantic_dataset,,Ref-48-Research,Ref-48-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,3,150.0,201.3693148046783,-51.36931480467831,51.36931480467831,2638.8065035021423,1345,1345,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,47,194.0,142.83664980573528,51.16335019426472,51.16335019426472,2617.688403100968,1783,1783,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,68,105.4,156.23814041203656,-50.83814041203655,50.83814041203655,2584.516520553944,1716,1716,,shared_semantic_dataset,,Ref-141-Research,Ref-141-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,69,211.0,160.43895102437085,50.56104897562915,50.56104897562915,2556.4196735159694,1805,1805,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,52,196.0,145.62743132328,50.37256867671999,50.37256867671999,2537.3956750908724,1788,1788,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,60,208.0,157.96717465929717,50.03282534070283,50.03282534070283,2503.2836115732753,1796,1796,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,49,165.0,214.62461107927754,-49.62461107927754,49.62461107927754,2462.6020247695556,1391,1391,,shared_semantic_dataset,,Ref-121-Research,Ref-121-Research
shared_semantic_recoding_50_percent,leave_one_publication_out,False,Elastic Net,held_out_publication,88,210.0,160.65069007675348,49.34930992324652,49.34930992324652,2435.3543899006377,1824,1824,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
