check,value,status,detail
week08_config_exists,True,pass,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/configs/week08_publication_generalization.yaml
week08_split_dir_exists,True,pass,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/data/processed/week8/publication_splits
week08_modeling_data_exists,True,pass,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/data/processed/week8/week08_modeling_data.csv
week08_modeling_lineage_exists,True,pass,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/data/processed/week8/week08_modeling_lineage.csv
week08_split_manifest_exists,True,pass,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/reports/tables/week08/week08_publication_split_manifest.csv
week08_frozen_config_exists,True,pass,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/results/models/week08/week08_frozen_publication_config.yaml
week08_lopo_metrics_exists,True,pass,/Users/apple/Brijesh/DE/SoSe2026/Special Project/Data-to-Design-ML/S1_Linear/results/metrics/week08/week08_lopo_publication_metrics.csv
train_row_alignment,1451/1451/1451,pass,X/y/lineage row counts
calibration_row_alignment,311/311/311,pass,X/y/lineage row counts
test_row_alignment,311/311/311,pass,X/y/lineage row counts
shared_predictor_schema,33,pass,"train, calibration, and test columns must match in order"
lineage_columns_excluded_from_predictors,0,pass,
train_calibration_publication_overlap,0,pass,
train_test_publication_overlap,0,pass,
calibration_test_publication_overlap,0,pass,
all_modeling_rows_represented_in_shared_split,2073,pass,modeling data/lineage rows = 2073/2073
target_separated_from_predictors,cs_28d,pass,
week08_manifest_is_target_independent,165,pass,
week08_selected_configuration_is_frozen,Elastic Net,pass,
week08_bayesian_ridge_parameters_available,True,pass,
week08_lopo_threshold_loaded,50,pass,Week 9 does not maintain an independent threshold
