method,model,evaluation_scheme,evaluation_fold,calibration_score_type,alpha,nominal_coverage,n_calibration_rows,finite_sample_rank,quantile_level,q_hat,bootstrap_repetitions
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-144-Research,absolute_validation_residual,0.5,0.5,311,156.0,0.5016077170418006,22.23132265575387,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-144-Research,absolute_validation_residual,0.19999999999999996,0.8,311,250.0,0.8038585209003215,35.84398832219168,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-144-Research,absolute_validation_residual,0.09999999999999998,0.9,311,281.0,0.9035369774919614,48.16242038655437,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-144-Research,absolute_validation_residual,0.050000000000000044,0.95,311,297.0,0.954983922829582,57.47445948217634,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,gaussian_predictive_z,0.5,0.5,311,,,0.6744897501960817,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,gaussian_predictive_z,0.19999999999999996,0.8,311,,,1.2815515655446006,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,gaussian_predictive_z,0.09999999999999998,0.9,311,,,1.6448536269514715,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,gaussian_predictive_z,0.050000000000000044,0.95,311,,,1.9599639845400534,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,absolute_residual_over_predictive_std,0.5,0.5,311,156.0,0.5016077170418006,1.139594642321882,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,absolute_residual_over_predictive_std,0.19999999999999996,0.8,311,250.0,0.8038585209003215,1.9174715735972554,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,absolute_residual_over_predictive_std,0.09999999999999998,0.9,311,281.0,0.9035369774919614,2.237531581180988,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-144-Research,absolute_residual_over_predictive_std,0.050000000000000044,0.95,311,297.0,0.954983922829582,2.7593460533928824,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-144-Research,bootstrap_percentile_bounds,0.5,0.5,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-144-Research,outside_bootstrap_interval_distance,0.5,0.5,311,156.0,0.5016077170418006,6.206125611283909,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-144-Research,bootstrap_percentile_bounds,0.19999999999999996,0.8,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-144-Research,outside_bootstrap_interval_distance,0.19999999999999996,0.8,311,250.0,0.8038585209003215,7.4199971398843445,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-144-Research,bootstrap_percentile_bounds,0.09999999999999998,0.9,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-144-Research,outside_bootstrap_interval_distance,0.09999999999999998,0.9,311,281.0,0.9035369774919614,12.057055884711275,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-144-Research,bootstrap_percentile_bounds,0.050000000000000044,0.95,311,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-144-Research,outside_bootstrap_interval_distance,0.050000000000000044,0.95,311,297.0,0.954983922829582,13.695425547694413,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-121-Research,absolute_validation_residual,0.5,0.5,231,116.0,0.5021645021645021,22.249569953502714,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-121-Research,absolute_validation_residual,0.19999999999999996,0.8,231,186.0,0.8051948051948052,34.53153102173192,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-121-Research,absolute_validation_residual,0.09999999999999998,0.9,231,209.0,0.9047619047619048,49.52900131480362,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-121-Research,absolute_validation_residual,0.050000000000000044,0.95,231,221.0,0.9567099567099567,60.30103399292926,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,gaussian_predictive_z,0.5,0.5,231,,,0.6744897501960817,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,gaussian_predictive_z,0.19999999999999996,0.8,231,,,1.2815515655446006,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,gaussian_predictive_z,0.09999999999999998,0.9,231,,,1.6448536269514715,
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,gaussian_predictive_z,0.050000000000000044,0.95,231,,,1.9599639845400534,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,absolute_residual_over_predictive_std,0.5,0.5,231,116.0,0.5021645021645021,1.1990880911537234,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,absolute_residual_over_predictive_std,0.19999999999999996,0.8,231,186.0,0.8051948051948052,1.9555768154797215,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,absolute_residual_over_predictive_std,0.09999999999999998,0.9,231,209.0,0.9047619047619048,2.4139764418823826,
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,Ref-121-Research,absolute_residual_over_predictive_std,0.050000000000000044,0.95,231,221.0,0.9567099567099567,2.908546448242017,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-121-Research,bootstrap_percentile_bounds,0.5,0.5,231,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-121-Research,outside_bootstrap_interval_distance,0.5,0.5,231,116.0,0.5021645021645021,5.951152766079616,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-121-Research,bootstrap_percentile_bounds,0.19999999999999996,0.8,231,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-121-Research,outside_bootstrap_interval_distance,0.19999999999999996,0.8,231,186.0,0.8051948051948052,6.718092689630254,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-121-Research,bootstrap_percentile_bounds,0.09999999999999998,0.9,231,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-121-Research,outside_bootstrap_interval_distance,0.09999999999999998,0.9,231,209.0,0.9047619047619048,12.463270022945494,
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,Ref-121-Research,bootstrap_percentile_bounds,0.050000000000000044,0.95,231,,,,300.0
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,Ref-121-Research,outside_bootstrap_interval_distance,0.050000000000000044,0.95,231,221.0,0.9567099567099567,16.750665048773016,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-141-Research,absolute_validation_residual,0.5,0.5,238,120.0,0.5042016806722689,20.92152761212145,
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,Ref-141-Research,absolute_validation_residual,0.19999999999999996,0.8,238,192.0,0.8067226890756303,40.1946890991745,
