method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold,publication_group,publication_source,publication_country,publication_year,MethodMedianPublicationWidth,ConfidenceDiagnostic,MiscoverageShortfall,NarrowWrongScore,CoverageEvidence
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.3424657534246575,-0.5575342465753426,73.77008698521644,73.39758391670222,0.7864844163583165,0.6575342465753424,0.0,198.47120765834856,160.27867764217123,-0.328591707159543,73,40.93040338802712,42.130883079945214,-10.384509136281443,0.6230607861416141,-40.93040338802712,41.55394113350681,Ref-141-Research,Ref-141-Research,shared_semantic_dataset,,,73.38649229439326,wide_and_wrong,0.5575342465753426,0.007557727926863807,more_stable_n_ge_10
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.6666666666666666,-0.2333333333333334,72.2714584859645,72.25102473361548,4.682745784097422,0.06944444444444445,0.2638888888888889,141.41095556242692,74.49212596644871,0.15280725448581906,72,27.184904267135046,31.726317768990363,-0.2586148999253277,0.40291374399887114,17.437360164022945,24.496863569827212,Ref-48-Research,Ref-48-Research,shared_semantic_dataset,,,72.12912162731894,wide_and_wrong,0.2333333333333334,0.0032285682096570385,more_stable_n_ge_10
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.6875,-0.21250000000000002,71.44038174101084,71.42011639157735,0.10144332509551503,0.0,0.3125,143.53149875057244,71.554104500475,-0.3692307692307692,64,26.15841818151837,31.20925802778843,-0.05445276134654242,0.9431310457626414,22.57155573029427,22.61314077795953,Ref-85-Research,Ref-85-Research,shared_semantic_dataset,,,73.38649229439326,narrow_but_wrong,0.21250000000000002,0.0029745081818062704,more_stable_n_ge_10
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.734375,-0.16562500000000002,71.94578240948891,71.92126316565418,3.5435011590644248,0.0,0.265625,140.81980265146922,74.25075901522735,0.09606227106227104,64,26.164259009378718,31.492343303662437,-0.07366845888505802,0.9439663499320616,22.73108042665858,22.233010394435922,Ref-85-Research,Ref-85-Research,shared_semantic_dataset,,,72.12912162731894,narrow_but_wrong,0.16562500000000002,0.0023020807398733047,more_stable_n_ge_10
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.7625,-0.13750000000000007,72.74991803953151,73.21238583317164,4.104290099080564,0.2,0.0375,126.85146950733065,74.22439178409813,-0.03442375086676749,80,23.299239277088954,28.490586364775613,0.03941431945422802,0.4222865359530422,-10.22637232491261,21.131017635355605,Ref-121-Research,Ref-121-Research,shared_semantic_dataset,,,72.12912162731894,wide_and_wrong,0.13750000000000007,0.0018900364935845574,more_stable_n_ge_10
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.7843137254901961,-0.11568627450980395,73.26327006734535,73.10633013461955,0.9804424151795708,0.21568627450980393,0.0,125.12579051814143,73.37033135599283,0.30268337964832576,51,21.157860748907023,27.543004294943252,-0.9444808580572488,0.49141701553295164,-18.764434906101272,16.628030850163952,Ref-139-Research,Ref-139-Research,shared_semantic_dataset,,,73.38649229439326,narrow_but_wrong,0.11568627450980395,0.001579048743025835,more_stable_n_ge_10
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8,-0.09999999999999998,73.50971452144117,73.17357938481456,1.1581667379833638,0.175,0.025,116.98789426489657,73.35199463480805,0.2953554386583736,80,22.983316604694497,28.02270167472894,0.0707055573123917,0.4427818632499927,-9.634368324794297,19.606233120870925,Ref-121-Research,Ref-121-Research,shared_semantic_dataset,,,73.38649229439326,wide_and_wrong,0.09999999999999998,0.0013603644178325869,more_stable_n_ge_10
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8194444444444444,-0.0805555555555556,75.67356737291938,74.66932521425906,3.0550726319339288,0.08333333333333333,0.09722222222222222,111.73709764758286,75.5367431361625,-0.06402277409228226,72,22.687149209200683,27.583506454011683,0.04862337632184577,0.45145100066978594,10.168935680370733,19.77667044891524,Ref-48-Research,Ref-48-Research,shared_semantic_dataset,,,73.38649229439326,wide_and_wrong,0.0805555555555556,0.001064513784034758,more_stable_n_ge_10
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.8482142857142857,-0.051785714285714324,71.13630303321169,71.05318885956473,4.272697389032035,0.03571428571428571,0.11607142857142858,97.67554976192795,72.44994265605692,0.05957246887533781,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research,Ref-144-Research,shared_semantic_dataset,,,72.12912162731894,narrow_but_wrong,0.051785714285714324,0.0007279787123817346,more_stable_n_ge_10
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8482142857142857,-0.051785714285714324,72.18606368390222,72.16719249170114,0.2643329161804018,0.026785714285714284,0.125,102.22597507917008,72.20273170814153,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research,Ref-144-Research,shared_semantic_dataset,,,73.38649229439326,narrow_but_wrong,0.051785714285714324,0.000717392134200313,more_stable_n_ge_10
