method,model,evaluation_scheme,split,nominal_coverage,EmpiricalCoverage,CoverageGap,MeanIntervalWidth,MedianIntervalWidth,StdIntervalWidth,BelowIntervalRate,AboveIntervalRate,MeanWinklerScore,MedianWinklerScore,UncertaintyErrorSpearman,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,evaluation_fold
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.6428571428571429,0.1428571428571429,44.462645311507735,44.46264531150774,7.105427357601002e-15,0.08035714285714286,0.2767857142857143,63.39352317715676,44.46264531150774,,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.8,0.8482142857142857,0.048214285714285654,71.68797664438333,71.68797664438335,2.842170943040401e-14,0.026785714285714284,0.125,86.45918392884946,71.68797664438335,,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.9,0.9642857142857143,0.06428571428571428,96.32484077310872,96.32484077310875,2.842170943040401e-14,0.0,0.03571428571428571,102.50509371782356,96.32484077310875,,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research
elastic_net_split_conformal,Elastic Net,leave_one_publication_out,heldout_publication,0.95,0.9821428571428571,0.03214285714285714,114.94891896435273,114.94891896435269,4.263256414560601e-14,0.0,0.017857142857142856,116.85752823349756,114.94891896435269,,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.41964285714285715,-0.08035714285714285,29.600664316880348,29.59292598350828,0.10839252787104345,0.16964285714285715,0.4107142857142857,62.6254607489312,37.704223442612744,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.75,-0.050000000000000044,56.242185571285766,56.22748249648768,0.20594918417379604,0.0625,0.1875,86.76816703559578,56.34249286138913,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.8482142857142857,-0.051785714285714324,72.18606368390222,72.16719249170114,0.2643329161804018,0.026785714285714284,0.125,102.22597507917008,72.20273170814153,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
bayesian_ridge_native,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,0.9107142857142857,-0.03928571428571426,86.01500017261853,85.9925137601783,0.31497209669788656,0.0,0.08928571428571429,113.43592335207457,86.01018999250857,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.5,0.6785714285714286,0.1785714285714286,50.012262536056134,49.99918811461572,0.18313628041590557,0.07142857142857142,0.25,65.73573971408288,50.10940677467881,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.8,0.9107142857142857,0.11071428571428565,84.15017777618174,84.12817887365784,0.3081434386847941,0.0,0.08928571428571429,91.8387190067236,84.14547188173805,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.9,0.9642857142857143,0.06428571428571428,98.19633465697949,98.17066374752437,0.3595780428167948,0.0,0.03571428571428571,104.36981539682213,98.17227097186665,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
bayesian_ridge_conformalized,Bayesian Ridge,leave_one_publication_out,heldout_publication,0.95,0.9910714285714286,0.04107142857142865,121.09669010810983,121.06503248893353,0.4434351951401596,0.0,0.008928571428571428,122.14891890812376,121.06503248893353,0.18948910635640095,112,19.646388069216602,24.47658806274536,0.33127574621552325,0.803156560877805,9.754836020234977,16.82759443362528,Ref-144-Research
elastic_net_residual_bootstrap,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.4107142857142857,-0.0892857142857143,27.067624826481566,26.854999905369084,1.9645771678497863,0.16071428571428573,0.42857142857142855,62.39812533938066,40.81696777654589,-0.0036004868986169902,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research
elastic_net_bootstrap_conformalized,Elastic Net,leave_one_publication_out,heldout_publication,0.5,0.5982142857142857,0.0982142857142857,39.47987604904939,39.2672511279369,1.9645771678497863,0.10714285714285714,0.29464285714285715,62.42945442356235,41.221457025827675,-0.0036004868986169902,112,19.381002464845636,24.176118973000108,0.34759319010350465,0.8104616052921717,9.780505307616895,16.522234567240417,Ref-144-Research
