evaluation_fold,check,value,status
Ref-144-Research,train_calibration_publication_overlap,0,pass
Ref-144-Research,train_heldout_publication_overlap,0,pass
Ref-144-Research,calibration_heldout_publication_overlap,0,pass
Ref-144-Research,all_rows_assigned,2073,pass
Ref-144-Research,assignment_uses_target_values,False,pass
Ref-144-Research,expected_heldout_publication_only,Ref-144-Research,pass
Ref-121-Research,train_calibration_publication_overlap,0,pass
Ref-121-Research,train_heldout_publication_overlap,0,pass
Ref-121-Research,calibration_heldout_publication_overlap,0,pass
Ref-121-Research,all_rows_assigned,2073,pass
Ref-121-Research,assignment_uses_target_values,False,pass
Ref-121-Research,expected_heldout_publication_only,Ref-121-Research,pass
Ref-141-Research,train_calibration_publication_overlap,0,pass
Ref-141-Research,train_heldout_publication_overlap,0,pass
Ref-141-Research,calibration_heldout_publication_overlap,0,pass
Ref-141-Research,all_rows_assigned,2073,pass
Ref-141-Research,assignment_uses_target_values,False,pass
Ref-141-Research,expected_heldout_publication_only,Ref-141-Research,pass
Ref-48-Research,train_calibration_publication_overlap,0,pass
Ref-48-Research,train_heldout_publication_overlap,0,pass
Ref-48-Research,calibration_heldout_publication_overlap,0,pass
Ref-48-Research,all_rows_assigned,2073,pass
Ref-48-Research,assignment_uses_target_values,False,pass
Ref-48-Research,expected_heldout_publication_only,Ref-48-Research,pass
Ref-85-Research,train_calibration_publication_overlap,0,pass
Ref-85-Research,train_heldout_publication_overlap,0,pass
Ref-85-Research,calibration_heldout_publication_overlap,0,pass
Ref-85-Research,all_rows_assigned,2073,pass
Ref-85-Research,assignment_uses_target_values,False,pass
Ref-85-Research,expected_heldout_publication_only,Ref-85-Research,pass
Ref-139-Research,train_calibration_publication_overlap,0,pass
Ref-139-Research,train_heldout_publication_overlap,0,pass
Ref-139-Research,calibration_heldout_publication_overlap,0,pass
Ref-139-Research,all_rows_assigned,2073,pass
Ref-139-Research,assignment_uses_target_values,False,pass
Ref-139-Research,expected_heldout_publication_only,Ref-139-Research,pass
