evaluation_fold,role,n_rows,n_publications
Ref-144-Research,train,1650,139
Ref-144-Research,calibration,311,25
Ref-144-Research,heldout,112,1
Ref-121-Research,train,1762,140
Ref-121-Research,calibration,231,24
Ref-121-Research,heldout,80,1
Ref-141-Research,train,1762,140
Ref-141-Research,calibration,238,24
Ref-141-Research,heldout,73,1
Ref-48-Research,train,1690,139
Ref-48-Research,calibration,311,25
Ref-48-Research,heldout,72,1
Ref-85-Research,train,1698,139
Ref-85-Research,calibration,311,25
Ref-85-Research,heldout,64,1
Ref-139-Research,train,1711,139
Ref-139-Research,calibration,311,25
Ref-139-Research,heldout,51,1
