method,model,evaluation_scheme,split,nominal_coverage,row_position,Actual,Predicted,Lower,Upper,Residual,AbsoluteError,SquaredError,IntervalWidth,HalfWidth,UncertaintyScore,Covered,MissDirection,StandardizedError,WinklerScore,policy,evaluation_fold,training_rows,training_publications,calibration_rows,calibration_publications,evaluation_rows,evaluation_publications,semantic_row_id,modeling_row_id,publication_country,publication_source,publication_year,publication_reference_id,publication_group
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.9,156,250.0,171.86061755598038,140.81305879868407,207.49789088778678,78.13938244401962,78.13938244401962,6105.763088732761,66.68483208910271,33.342416044551356,20.034700056236595,False,above_interval_underprediction,2.343542901618515,916.7270143333672,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,1255,1255,,shared_semantic_dataset,,Ref-109-Research,Ref-109-Research
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,155,230.0,149.82037918308365,114.14305186327164,185.49770650289565,80.17962081691635,80.17962081691635,6428.771594344486,71.35465463962402,35.67732731981201,21.690274888432125,False,above_interval_underprediction,2.2473550246122764,961.4005245817111,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,1254,1254,,shared_semantic_dataset,,Ref-109-Research,Ref-109-Research
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.9,155,230.0,147.37409241930482,115.05984155542502,188.7134049763035,82.62590758069518,82.62590758069518,6827.040603533582,73.65356342087848,36.82678171043924,22.202397957403367,False,above_interval_underprediction,2.2436363902326364,899.3854638948085,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,1254,1254,,shared_semantic_dataset,,Ref-109-Research,Ref-109-Research
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,156,250.0,174.59039246563563,138.85937930718953,210.32140562408173,75.40960753436437,75.40960753436437,5686.608908486864,71.4620263168922,35.7310131584461,21.722913560806642,False,above_interval_underprediction,2.1104805284968258,865.0339138352576,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,1255,1255,,shared_semantic_dataset,,Ref-109-Research,Ref-109-Research
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.9,259,229.0,164.91735076463488,135.70898016051942,198.86326833742962,64.08264923536512,64.08264923536512,4106.585933022842,63.1542881769102,31.5771440884551,20.924929116790445,False,above_interval_underprediction,2.029399779025436,665.888921428318,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,1831,1831,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,154,105.0,173.69220937424737,137.58287891588185,209.8015398326129,-68.69220937424737,68.69220937424737,4718.619628715438,72.21866091673104,36.10933045836552,21.952914147923064,False,below_interval_overprediction,1.902339603151886,723.8762392343681,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,1253,1253,,shared_semantic_dataset,,Ref-108-Research,Ref-108-Research
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.9,130,281.0,220.35089077233062,180.60582456778036,245.42014273796525,60.649109227669385,60.649109227669385,3678.3144501097718,64.81431817018489,32.407159085092445,20.478711769405336,False,above_interval_underprediction,1.871472567787297,776.4114634108801,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,790,790,,shared_semantic_dataset,,Ref-65-Research,Ref-65-Research
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.9,286,83.0,145.52292398387618,112.78850894902206,181.19183897560322,-62.52292398387618,62.52292398387618,3909.1160234935596,68.40333002658116,34.20166501329058,20.925711276432946,False,below_interval_overprediction,1.8280666733499704,664.1735090070224,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,2009,2009,,shared_semantic_dataset,,Ref-161-Research,Ref-161-Research
bayesian_ridge_native,Bayesian Ridge,shared_publication_held_out,test,0.9,259,229.0,164.47361068020524,128.8463834614675,200.10083789894298,64.52638931979476,64.52638931979476,4163.654918649723,71.25445443747549,35.627227218737744,21.65981618970456,False,above_interval_underprediction,1.8111538381481964,649.2376964586159,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,1831,1831,,shared_semantic_dataset,,Ref-144-Research,Ref-144-Research
elastic_net_residual_bootstrap,Elastic Net,shared_publication_held_out,test,0.9,56,208.0,141.72206159149815,101.53479419009852,175.10169471756078,66.27793840850185,66.27793840850185,4392.765119681165,73.56690052746225,36.783450263731126,24.406895009327513,False,above_interval_underprediction,1.801841261037239,731.5330061762469,shared_semantic_recoding_50_percent,shared_publication_test,1451,115,311,25,311,25,531,531,,shared_semantic_dataset,,Ref-48-Research,Ref-48-Research
