original_feature,feature_group,mapping_status
cement,binders_and_scms,configured
cement_type,binders_and_scms,configured
silica_fume,binders_and_scms,configured
fly_ash,binders_and_scms,configured
fly_ash_type,binders_and_scms,configured
limestone_powder,binders_and_scms,configured
quartz_powder,binders_and_scms,configured
glass_powder,binders_and_scms,configured
rice_husk_ash,binders_and_scms,configured
metakaolin,binders_and_scms,configured
ggbfs,binders_and_scms,configured
slag,binders_and_scms,configured
slag_type,binders_and_scms,configured
nano_caco3,binders_and_scms,configured
nano_al2o3,binders_and_scms,configured
nano_tio2,binders_and_scms,configured
nano_sio2,binders_and_scms,configured
filler,fillers_and_aggregates,configured
filler_type,fillers_and_aggregates,configured
sand,fillers_and_aggregates,configured
sand_type,fillers_and_aggregates,configured
sand_max_size,fillers_and_aggregates,configured
fiber1_type,fibers,configured
fiber1_amount,fibers,configured
fiber1_length,fibers,configured
fiber1_diameter,fibers,configured
fiber2_type,fibers,configured
fiber2_amount,fibers,configured
water,water,configured
sp_type,chemical_admixtures,configured
sp_amount,chemical_admixtures,configured
curing_method,curing,configured
curing_temp,curing,configured
