transformed_feature,mean_abs_shap,mean_signed_shap,std_signed_shap,max_abs_shap,mean_abs_share,shap_rank,original_feature,transform_family,transformed_detail,mapping_status,feature_group
num__curing_temp,10.637911875406033,5.487618627142081,12.918413335141155,34.427781676342285,0.19619421878579976,1,curing_temp,num,,mapped,curing
target__sand_type,6.964597224880232,4.226041343232789,5.9991511181670525,10.766623476558992,0.12844754945302386,2,sand_type,target,,mapped,fillers_and_aggregates
num__fiber1_amount,6.077020859609586,1.1782052593962973,6.598792245710934,29.084830216347335,0.1120780444565024,3,fiber1_amount,num,,mapped,fibers
target__cement_type,3.4488171795245597,-1.811258869434673,3.3494488859892604,14.03058451154524,0.06360627914545872,4,cement_type,target,,mapped,binders_and_scms
target__fiber1_type,3.2549000296384407,0.6592246960322486,3.273193492477081,5.796379629332266,0.06002987954968524,5,fiber1_type,target,,mapped,fibers
num__silica_fume,2.8764907122192827,1.6181629152676404,3.142658841327601,9.619354474685583,0.05305090460781153,6,silica_fume,num,,mapped,binders_and_scms
num__water,2.388266897636201,1.9408031557091066,2.117671216031455,7.895085106306142,0.04404662904916532,7,water,num,,mapped,water
num__slag,1.8648641492372613,-1.8648641492372613,4.26331724259036,16.999201305202412,0.03439355102641181,8,slag,num,,mapped,binders_and_scms
ohe__fly_ash_type_not_applicable,1.683526104466987,-0.8606312045250614,1.7464474740046891,4.921544497729595,0.03104914693221166,9,fly_ash_type,ohe,not_applicable,mapped,binders_and_scms
num__fly_ash,1.5454325055565656,1.1647948443340839,1.1812991287766337,8.102468841670364,0.02850229694183086,10,fly_ash,num,,mapped,binders_and_scms
num__sp_amount,1.317504505382026,-0.3241552757152581,1.7181283417780409,4.9808116941726155,0.02429863775970903,11,sp_amount,num,,mapped,chemical_admixtures
num__cement,1.2951871368356522,-0.4243816997544452,1.8106267622118422,6.720464322108881,0.02388704018881418,12,cement,num,,mapped,binders_and_scms
num__sand_max_size,1.2773225523265292,0.5745092827191894,1.3068280591010486,4.573603605128407,0.02355756498327094,13,sand_max_size,num,,mapped,fillers_and_aggregates
ohe__curing_method_Steam Curing,1.2099145131621074,-0.06652765336496844,1.5397416728992528,3.2925306796010205,0.02231436352243523,14,curing_method,ohe,Steam Curing,mapped,curing
target__filler_type,0.948657575625078,-0.1412985091049913,2.4595980649757463,11.413121349443044,0.01749602122342163,15,filler_type,target,,mapped,fillers_and_aggregates
ohe__sp_type_PCE_SP,0.941771906088488,0.049817264310410725,0.9421507822112588,1.0050648318586304,0.017369029331462862,16,sp_type,ohe,PCE_SP,mapped,chemical_admixtures
