model,publication_group,publication_source,publication_country,publication_year,n_rows,MAE,RMSE,R2,R,Bias,MedianAE,MaximumAE,target_mean,target_min,target_max,worst_row_squared_error_share,dominant_residual_direction,numeric_out_of_training_range_rate,unseen_category_rate
OLS,Ref-141-Research,shared_semantic_dataset,,,73,42.697733242426615,44.05842802785888,-11.450052452126998,0.6174978825168609,-42.697733242426615,41.027075177400434,76.35716272460846,132.5068493150685,105.4,163.7,0.041145155630364146,overprediction,0.0,0.0
OLS,Ref-121-Research,shared_semantic_dataset,,,80,28.038552591682866,34.50883949344397,-0.4092694657850635,0.3607704119228953,-19.491602021490408,24.285902585348865,87.09032000075035,165.075,110.0,225.0,0.07961393255244176,overprediction,0.0,0.0
OLS,Ref-139-Research,shared_semantic_dataset,,,51,25.926587364516326,32.325380850459624,-1.6783563172194826,0.4730735167597019,-24.753824364912138,21.643996361128387,77.84598773043318,134.10196078431372,80.0,169.3,0.1137142758700597,overprediction,0.00980392156862745,0.004357298474945534
OLS,Ref-85-Research,shared_semantic_dataset,,,64,23.06406189167377,27.680261441765637,0.17053012782895505,0.9443939518964907,18.41077902348912,19.062094977131437,58.57572402434283,173.25,112.0,232.0,0.0699705006416139,underprediction,0.0,0.0
OLS,Ref-144-Research,shared_semantic_dataset,,,112,21.816571893695457,26.086160862661906,0.24043376057214771,0.7773778637356059,14.401443481674702,18.392622822539437,65.5549658288028,157.05357142857142,90.0,229.0,0.05638620057747391,underprediction,0.00818452380952381,0.0
OLS,Ref-48-Research,shared_semantic_dataset,,,72,19.690618763661984,24.633702578545783,0.24122516961935925,0.51483296821343,3.765163162389718,16.91244544815369,64.62842225728042,188.10416666666666,100.0,234.0,0.09559941266897609,underprediction,0.0,0.09259259259259259
Elastic Net,Ref-121-Research,shared_semantic_dataset,,,80,28.442718500140757,35.16850844769953,-0.4636634650370155,0.3205748469932736,-20.098381359823644,23.98087108718083,89.30088458332747,165.075,110.0,225.0,0.08059602735334306,overprediction,0.0,0.0
Elastic Net,Ref-48-Research,shared_semantic_dataset,,,72,25.78965980024041,30.512740611954115,-0.16416882018804801,0.39657303851425585,14.738535793325289,23.09607243470502,61.519867954338594,188.10416666666666,100.0,234.0,0.056459348004459675,underprediction,0.0,0.09259259259259259
Elastic Net,Ref-85-Research,shared_semantic_dataset,,,64,23.80542454981829,28.77535522525435,0.10360045377494742,0.9434603083598103,19.2991046829597,19.122339038914276,61.41444951856312,173.25,112.0,232.0,0.071173736429489,underprediction,0.0,0.0
Elastic Net,Ref-144-Research,shared_semantic_dataset,,,112,22.251623467636232,26.69053158505694,0.2048304072649637,0.795836649246195,15.321170752791913,19.329942272037187,67.01668712869693,157.05357142857142,90.0,229.0,0.05629028413888252,underprediction,0.00818452380952381,0.0
