original_feature,n_repeats,baseline_rmse,mean_permuted_rmse,std_permuted_rmse,mean_rmse_delta,std_rmse_delta,min_rmse_delta,max_rmse_delta,mean_rmse_delta_percentage,permutation_rank,feature_group,mapping_status
curing_temp,30,29.127843361357257,36.50983763029496,0.7292056065571904,7.3819942689376985,0.7292056065571906,5.828189325839524,8.679533612083311,25.343428888151376,1,curing,configured
fiber1_amount,30,29.127843361357257,31.393281990391873,0.3879413244629408,2.265438629034617,0.3879413244629407,1.5031150011929881,3.161227529832381,7.7775707625511465,2,fibers,configured
sand_type,30,29.127843361357257,30.482034515411044,0.3518273638643321,1.3541911540537868,0.3518273638643324,0.6696083324074635,1.9870405143952574,4.649129484987337,3,fillers_and_aggregates,configured
silica_fume,30,29.127843361357257,30.03168295596792,0.14947906981677989,0.9038395946106603,0.14947906981678014,0.6066618208083234,1.2255084248698864,3.1030089780342203,4,binders_and_scms,configured
fiber1_type,30,29.127843361357257,29.86675005908394,0.15084402732772345,0.7389066977266834,0.15084402732772403,0.5273096240318651,1.0866476306444603,2.5367710494727573,5,fibers,configured
cement_type,30,29.127843361357257,29.701580812089148,0.149159330245981,0.5737374507318881,0.14915933024598094,0.24036959288263304,0.8756253565256316,1.9697216976010061,6,binders_and_scms,configured
water,30,29.127843361357257,29.604098996211054,0.11217233336260288,0.4762556348537968,0.11217233336260242,0.29101588089646313,0.6674132708492841,1.6350528562839843,7,water,configured
sp_type,30,29.127843361357257,29.582010633876543,0.08830618077559009,0.45416727251928346,0.08830618077559026,0.2593645192146994,0.583492351481727,1.5592203888387046,8,chemical_admixtures,configured
sand_max_size,30,29.127843361357257,29.462699106569747,0.07124850465925633,0.3348557452124902,0.07124850465925653,0.20323624581433108,0.49840786880150745,1.1496070651654557,9,fillers_and_aggregates,configured
filler_type,30,29.127843361357257,29.458761352022478,0.11478880231883719,0.3309179906652201,0.11478880231883744,0.07941005525714928,0.5735683867605701,1.1360881976735557,10,fillers_and_aggregates,configured
curing_method,30,29.127843361357257,29.326034498950552,0.11562697961845783,0.1981911375932956,0.11562697961845834,0.01818788946634342,0.423243414528379,0.6804181659951791,11,curing,configured
fly_ash_type,30,29.127843361357257,29.277584840747238,0.12742699216641853,0.14974147938998192,0.12742699216641862,-0.08906720421381564,0.42523861629132753,0.5140836468127878,12,binders_and_scms,configured
fly_ash,30,29.127843361357257,29.26987642042885,0.06228193591557731,0.14203305907159608,0.062281935915576445,0.0023566521020441655,0.28966343513533843,0.4876195511955604,13,binders_and_scms,configured
filler,30,29.127843361357257,29.266255632772292,0.05875932578704975,0.13841227141503604,0.05875932578704921,0.0030399110311130073,0.2369072323004744,0.47518887580486663,14,fillers_and_aggregates,configured
glass_powder,30,29.127843361357257,29.24163595630952,0.03326381108857275,0.11379259495226321,0.03326381108857305,0.0482263896270716,0.1782585882130796,0.39066604945846173,15,binders_and_scms,configured
rice_husk_ash,30,29.127843361357257,29.187410659510554,0.03874409067556448,0.059567298153297206,0.03874409067556388,-0.007942051809511241,0.1378347662576509,0.2045029472807546,16,binders_and_scms,configured
ggbfs,30,29.127843361357257,29.170856318952005,0.03589997560866955,0.04301295759474601,0.0358999756086695,-0.058024703395350485,0.11646634524012,0.14766955816512517,17,binders_and_scms,configured
fiber1_length,30,29.127843361357257,29.144244806050445,0.032266109144178316,0.016401444693187866,0.03226610914417681,-0.04020180267472284,0.08222627062442811,0.05630847601627454,18,fibers,configured
metakaolin,30,29.127843361357257,29.132951970059025,0.009996319148310232,0.005108608701766689,0.009996319148310494,-0.014219301478348711,0.020742175938021745,0.01753857516462779,19,binders_and_scms,configured
nano_caco3,30,29.127843361357257,29.129806435327055,0.03015525739779229,0.001963073969797217,0.03015525739779187,-0.05431211749362319,0.05224904395853969,0.006739510184271137,20,binders_and_scms,configured
nano_al2o3,30,29.127843361357257,29.127843361357257,0.0,0.0,0.0,0.0,0.0,0.0,21,binders_and_scms,configured
nano_tio2,30,29.127843361357257,29.127843361357257,0.0,0.0,0.0,0.0,0.0,0.0,22,binders_and_scms,configured
quartz_powder,30,29.127843361357257,29.127843361357257,0.0,0.0,0.0,0.0,0.0,0.0,23,binders_and_scms,configured
fiber2_amount,30,29.127843361357257,29.127843361357257,0.0,0.0,0.0,0.0,0.0,0.0,24,fibers,configured
fiber2_type,30,29.127843361357257,29.127843361357257,0.0,0.0,0.0,0.0,0.0,0.0,25,fibers,configured
nano_sio2,30,29.127843361357257,29.127831872108477,0.00040335928160163665,-1.148924877962069e-05,0.0004033592816018788,-0.0007915817040924367,0.0006503770380383855,-3.944421369301586e-05,26,binders_and_scms,configured
fiber1_diameter,30,29.127843361357257,29.12285545148001,0.004152580789140023,-0.004987909877246229,0.004152580789140412,-0.015745988091421026,0.0016352734300575378,-0.01712419905369132,27,fibers,configured
limestone_powder,30,29.127843361357257,29.109769824758548,0.04927473865779578,-0.018073536598707682,0.04927473865779601,-0.12361925985958777,0.0583464696399183,-0.06204900367833315,28,binders_and_scms,configured
cement,30,29.127843361357257,29.08948923949313,0.09915414007507288,-0.03835412186412578,0.09915414007507344,-0.19935025881309443,0.1834023066486381,-0.13167511713211372,29,binders_and_scms,configured
slag_type,30,29.127843361357257,29.07395188445338,0.011380547309272125,-0.05389147690387664,0.011380547309271419,-0.07569082008188488,-0.029111905232223734,-0.18501705133230806,30,binders_and_scms,configured
sand,30,29.127843361357257,29.01921042612577,0.017478590391518032,-0.10863293523148497,0.01747859039151785,-0.13495848450296322,-0.07134921329757304,-0.3729522089356054,31,fillers_and_aggregates,configured
sp_amount,30,29.127843361357257,28.67043497438031,0.09421294655906118,-0.4574083869769468,0.09421294655906128,-0.5945736477987644,-0.2605236213053246,-1.5703475925161428,32,chemical_admixtures,configured
slag,30,29.127843361357257,28.24950287408016,0.22061307014428228,-0.8783404872770973,0.22061307014428203,-1.2396787385010626,-0.46032170610779133,-3.0154669413059136,33,binders_and_scms,configured
