cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age,strength,w_c_ratio,w_b_ratio,cement_aggregate_ratio
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14.0,29.7508894,0.91,0.44,0.09
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28.0,25.573354316,0.66,0.66,0.16
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,15.87173752,0.55,0.55,0.19
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7.0,7.995853172,1.0,0.6,0.1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.70158688,0.69,0.69,0.15
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,38.215586252,0.54,0.3,0.2
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.419591196,0.7,0.48,0.19
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28.0,39.84481804,1.33,0.4,0.11
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,12.37264682,1.02,0.41,0.11
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.49708228,0.67,0.67,0.15
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.69860924,0.42,0.3,0.28
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14.0,38.60376124,0.72,0.4,0.12
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56.0,51.72448952,1.05,0.41,0.1
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,100.0,66.42411784,0.58,0.39,0.13
387.0,20.0,94.0,157.0,13.93,938.0,845.0,56.0,47.96684532,0.41,0.31,0.22
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28.0,43.5748832,0.69,0.39,0.17
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28.0,23.51802636,1.23,0.51,0.09
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.934619796,0.48,0.48,0.31
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.39795764,0.45,0.3,0.22
387.0,20.0,94.0,157.0,14.32,938.0,845.0,28.0,50.23522136,0.41,0.31,0.22
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55108132,0.41,0.3,0.23
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,38.610656,0.43,0.3,0.21
162.0,190.1,148.1,178.8,18.8,838.1,741.4,28.0,33.762260768,1.1,0.36,0.1
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28.0,39.05192064,0.51,0.51,0.21
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,28.0,30.21973308,0.72,0.46,0.12
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.401235144,0.77,0.46,0.16
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56.0,29.97841648,0.58,0.58,0.2
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3.0,11.41427518,0.96,0.58,0.11
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.003837168,0.96,0.58,0.12
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.931941844,1.2,0.6,0.12
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,56.0,36.96970312,0.75,0.51,0.14
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.497622,0.37,0.3,0.22
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0,9.307926,0.78,0.78,0.14
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,31.35047372,0.58,0.58,0.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3011712,0.45,0.3,0.21
295.71,0.0,95.64,171.54,8.87,955.14,859.2,3.0,22.94576128,0.58,0.44,0.16
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28.0,44.13335876,0.4,0.4,0.29
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0,26.322814728,1.25,0.75,0.08
