cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28.0
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0
387.0,20.0,94.0,157.0,11.61,938.0,845.0,28.0
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28.0
516.0,0.0,0.0,162.0,8.26,801.0,802.0,28.0
252.31,0.0,98.75,146.25,14.17,987.76,889.01,3.0
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3.0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28.0
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90.0
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14.0
148.1,0.0,182.1,181.4,15.0,838.9,884.3,28.0
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3.0
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100.0
424.0,22.0,132.0,168.0,8.92,822.0,750.0,3.0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28.0
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28.0
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,3.0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28.0
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56.0
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28.0
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28.0
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7.0
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14.0
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0
313.8,0.0,112.6,169.9,10.1,925.3,782.9,28.0
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3.0
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28.0
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56.0
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100.0
