superplasticizer,age,strength,w_c_ratio,w_b_ratio,cement_aggregate_ratio
4.14,14.0,29.7508894,0.91,0.44,0.09
0.0,28.0,25.573354316,0.66,0.66,0.16
0.0,3.0,15.87173752,0.55,0.55,0.19
0.0,7.0,7.995853172,1.0,0.6,0.1
0.0,360.0,33.70158688,0.69,0.69,0.15
22.1,28.0,38.215586252,0.54,0.3,0.2
6.2,28.0,33.419591196,0.7,0.48,0.19
10.0,28.0,39.84481804,1.33,0.4,0.11
0.0,7.0,12.37264682,1.02,0.41,0.11
0.0,28.0,24.49708228,0.67,0.67,0.15
11.1,56.0,71.69860924,0.42,0.3,0.28
9.61,14.0,38.60376124,0.72,0.4,0.12
7.79,56.0,51.72448952,1.05,0.41,0.1
11.99,100.0,66.42411784,0.58,0.39,0.13
13.93,56.0,47.96684532,0.41,0.31,0.22
7.0,28.0,43.5748832,0.69,0.39,0.17
7.0,28.0,23.51802636,1.23,0.51,0.09
0.0,365.0,41.934619796,0.48,0.48,0.31
10.1,3.0,34.39795764,0.45,0.3,0.22
14.32,28.0,50.23522136,0.41,0.31,0.22
20.0,28.0,55.55108132,0.41,0.3,0.23
10.91,7.0,38.610656,0.43,0.3,0.21
18.8,28.0,33.762260768,1.1,0.36,0.1
7.0,28.0,39.05192064,0.51,0.51,0.21
11.33,28.0,30.21973308,0.72,0.46,0.12
8.6,28.0,32.401235144,0.77,0.46,0.16
0.0,56.0,29.97841648,0.58,0.58,0.2
0.0,3.0,11.41427518,0.96,0.58,0.11
0.0,28.0,33.003837168,0.96,0.58,0.12
0.0,180.0,46.931941844,1.2,0.6,0.12
5.75,56.0,36.96970312,0.75,0.51,0.14
11.4,91.0,75.497622,0.37,0.3,0.22
0.0,3.0,9.307926,0.78,0.78,0.14
0.0,90.0,31.35047372,0.58,0.58,0.2
11.6,3.0,35.3011712,0.45,0.3,0.21
8.87,3.0,22.94576128,0.58,0.44,0.16
3.0,28.0,44.13335876,0.4,0.4,0.29
0.0,90.0,26.322814728,1.25,0.75,0.08
0.0,7.0,7.675936308,1.88,0.75,0.06
15.6,28.0,13.461329424,1.11,0.5,0.09
17.9,28.0,15.42357812,1.1,0.5,0.08
11.6,7.0,55.89581932,0.45,0.3,0.21
0.0,365.0,52.908319812,0.86,0.6,0.17
0.0,90.0,37.231704,0.58,0.58,0.18
0.0,7.0,10.222171176,0.75,0.75,0.14
4.567,56.0,27.66177712,0.85,0.6,0.13
11.61,7.0,41.66503468,0.41,0.31,0.22
5.9,28.0,81.75116932,0.46,0.32,0.17
7.77,3.0,15.04436632,0.85,0.51,0.1
0.0,180.0,34.48758952,0.63,0.63,0.17
6.0,28.0,53.52402188,0.67,0.37,0.19
7.0,28.0,23.8903434,1.11,0.34,0.11
0.0,90.0,31.023662096,1.66,0.66,0.06
9.88,56.0,31.715896,0.88,0.53,0.1
7.0,28.0,36.4388066,1.43,0.53,0.08
9.88,28.0,24.84871504,0.88,0.53,0.1
0.0,90.0,39.70002808,0.96,0.58,0.12
8.19,3.0,7.31534036,0.94,0.49,0.1
9.0,28.0,41.94082508,0.66,0.37,0.18
0.0,90.0,58.78472376,0.36,0.36,0.3
3.0,28.0,33.0603742,1.38,0.54,0.09
11.64,3.0,23.34565736,0.36,0.3,0.27
0.0,28.0,23.84897484,0.5,0.5,0.28
0.0,28.0,39.0932892,0.47,0.47,0.22
0.0,28.0,25.74503384,0.84,0.5,0.12
5.5,28.0,33.306517132,1.36,0.36,0.08
0.0,7.0,10.730314988,1.09,0.57,0.1
0.0,56.0,36.3009114,0.57,0.57,0.21
22.0,7.0,59.09498796,0.37,0.25,0.23
0.0,7.0,17.200357772,0.96,0.38,0.11
16.1,28.0,17.959470848,1.07,0.56,0.08
8.0,28.0,25.55887532,1.16,0.43,0.09
7.4,28.0,36.443632932,1.43,0.53,0.08
8.71,28.0,31.64005364,0.75,0.51,0.11
0.0,14.0,21.26343984,0.69,0.69,0.15
10.3,7.0,49.80085148,0.57,0.3,0.2
0.0,28.0,33.01900564,0.69,0.48,0.22
0.0,1.0,12.63809508,0.4,0.4,0.29
11.66,28.0,45.93978588,0.72,0.4,0.12
0.0,7.0,10.354550568,1.66,0.66,0.07
10.35,28.0,76.23536132,0.59,0.28,0.17
0.0,180.0,44.207822168,1.38,0.55,0.08
9.0,28.0,23.786922,1.25,0.57,0.09
16.5,56.0,64.30053176,0.36,0.29,0.24
3.93,3.0,25.6091085694586,0.43,0.33,0.31
9.73,28.0,37.81086384,0.99,0.4,0.1
11.19,14.0,47.7117392,0.58,0.4,0.15
11.0,28.0,40.679084,0.61,0.43,0.2
7.91,100.0,56.8128224,0.98,0.4,0.09
12.1,7.0,34.90127512,0.41,0.33,0.22
11.2,91.0,76.80073164,0.51,0.3,0.16
0.0,28.0,33.082437432,0.47,0.47,0.22
0.0,7.0,18.12632404,0.55,0.55,0.19
7.2,28.0,40.934879596,0.59,0.42,0.16
11.6,28.0,15.569747032,1.1,0.5,0.09
9.9,28.0,51.3314882,0.58,0.4,0.15
0.0,7.0,21.917063088,0.81,0.33,0.14
10.91,7.0,35.7542554305414,0.43,0.3,0.21
0.0,7.0,32.823194456,0.6,0.48,0.25
0.0,28.0,27.923778,0.62,0.62,0.17
0.0,28.0,22.347985588,1.66,0.66,0.06
0.0,7.0,14.2032056,0.67,0.67,0.15
2.2,28.0,26.922658848,1.16,0.53,0.08
32.2,3.0,40.1964508,0.29,0.24,0.28
6.5,28.0,33.798802996,0.74,0.44,0.15
0.0,90.0,38.074243672,0.97,0.58,0.11
0.0,90.0,51.863763672,1.0,0.4,0.13
7.48,100.0,37.34202016,0.85,0.56,0.1
9.9,3.0,23.80071152,0.58,0.4,0.15
5.69,100.0,39.6103962,0.85,0.54,0.12
8.19,14.0,21.50475644,0.94,0.49,0.1
9.0,28.0,52.82075636,0.61,0.34,0.17
9.88,100.0,40.38950408,0.85,0.51,0.1
7.0,56.0,39.58971192,0.78,0.56,0.13
10.91,28.0,62.93536928,0.43,0.3,0.21
5.33,100.0,41.1617172,0.77,0.55,0.14
18.6,7.0,46.80163088,0.36,0.28,0.24
0.0,100.0,37.9556538,0.99,0.53,0.09
12.2,28.0,39.455953576,1.05,0.41,0.09
0.0,7.0,42.42345828,0.36,0.36,0.3
0.0,3.0,9.694722036,1.22,0.49,0.09
6.6,28.0,65.909079268,0.52,0.35,0.23
8.19,56.0,43.49904084,0.94,0.49,0.1
10.1,56.0,63.3973182,0.45,0.3,0.22
0.0,14.0,22.53207568,0.58,0.58,0.2
0.0,7.0,11.46598588,0.49,0.49,0.2
0.0,90.0,39.6621069,1.44,0.58,0.08
0.0,28.0,26.200088,0.99,0.53,0.09
12.1,3.0,28.096147,0.41,0.33,0.22
0.0,7.0,34.569637164,0.4,0.4,0.29
4.63,3.0,10.0318758,0.85,0.56,0.13
6.0,28.0,26.96540636,1.46,0.46,0.08
4.14,100.0,37.6798634,0.91,0.44,0.09
0.0,90.0,47.22221124,0.4,0.4,0.29
0.0,180.0,36.251958604,0.96,0.48,0.16
0.0,365.0,55.260122448,0.75,0.6,0.19
22.0,28.0,74.4978818,0.37,0.25,0.23
0.0,7.0,14.58931216,1.38,0.55,0.08
10.0,28.0,30.12320644,0.64,0.48,0.18
6.72,100.0,45.83636448,0.75,0.49,0.13
6.0,28.0,33.79811352,0.74,0.44,0.15
0.0,7.0,25.447869684,0.47,0.47,0.22
6.4,28.0,39.39665864,1.14,0.44,0.09
0.0,365.0,41.052779992,0.69,0.48,0.22
11.83,56.0,51.03501352,0.58,0.43,0.15
10.83,100.0,48.15300384,0.94,0.47,0.09
0.0,28.0,33.947729812,1.22,0.49,0.1
6.0,28.0,22.93197176,1.16,0.46,0.12
0.0,270.0,74.16693332,0.32,0.32,0.31
8.48,28.0,62.05284,0.42,0.31,0.27
0.0,180.0,50.94882902,0.75,0.6,0.19
0.0,270.0,50.655112244,1.2,0.6,0.12
7.79,28.0,41.20308576,1.05,0.41,0.1
11.66,56.0,51.4349096,0.72,0.4,0.12
16.5,7.0,49.20100736,0.36,0.29,0.24
32.2,91.0,70.69886904,0.29,0.24,0.28
0.0,28.0,26.91369566,0.78,0.47,0.13
11.99,56.0,60.32225524,0.58,0.39,0.13
0.0,28.0,32.051670812,0.73,0.44,0.15
10.91,56.0,68.750606854188,0.43,0.3,0.21
6.13,100.0,40.85834776,0.85,0.56,0.13
7.0,3.0,19.93275116,0.78,0.56,0.13
11.66,28.0,44.63667624,0.75,0.41,0.12
8.08,14.0,33.08795324,1.06,0.41,0.09
8.92,7.0,40.2850977152707,0.4,0.29,0.27
4.63,14.0,20.08443588,0.85,0.56,0.13
0.0,360.0,44.698039604,1.38,0.55,0.08
10.83,3.0,7.39807748,0.94,0.47,0.09
0.0,7.0,30.275580636,0.69,0.48,0.22
0.0,28.0,31.84000168,0.55,0.55,0.19
0.0,270.0,43.01296026,0.53,0.48,0.28
11.99,28.0,52.5035974,0.58,0.39,0.13
5.46,56.0,44.5204502847293,0.63,0.41,0.17
7.48,14.0,24.28334472,0.87,0.58,0.1
0.0,7.0,15.691094808,0.78,0.47,0.13
8.0,28.0,44.51946532,0.41,0.28,0.17
0.0,7.0,10.089791784,1.66,0.66,0.06
4.46,3.0,11.57630204,0.85,0.59,0.12
12.8,3.0,15.36152528,0.63,0.45,0.13
9.88,14.0,22.7182342,0.85,0.51,0.1
0.0,56.0,36.56291228,0.99,0.53,0.09
9.41,3.0,22.50449664,0.58,0.43,0.16
8.0,28.0,33.39821744,0.77,0.46,0.15
10.0,28.0,31.17810472,0.61,0.45,0.2
6.86,28.0,45.70536404,0.85,0.54,0.12
7.0,28.0,42.140083644,0.62,0.43,0.17
10.16,28.0,40.14818748,0.72,0.4,0.12
0.0,270.0,40.269535256,0.69,0.48,0.22
14.32,56.0,56.33708396,0.41,0.31,0.22
0.0,7.0,9.01145132,0.55,0.55,0.19
0.0,28.0,19.69143456,0.73,0.73,0.13
8.0,28.0,44.38846488,0.57,0.39,0.19
12.35,100.0,45.3675208,0.58,0.42,0.13
1.72,3.0,9.84965714581204,1.02,0.58,0.12
11.0,28.0,44.6090972,1.23,0.4,0.09
6.0,28.0,46.24315532,0.67,0.46,0.17
0.0,28.0,67.30664712,0.32,0.32,0.31
7.79,3.0,14.94094492,1.05,0.41,0.1
5.75,14.0,29.93015316,0.75,0.51,0.14
6.1,28.0,42.6440906,0.63,0.46,0.18
0.0,28.0,12.24509376,0.9,0.9,0.1
0.0,28.0,34.29453624,0.53,0.53,0.19
10.0,28.0,23.83518532,0.71,0.5,0.19
0.0,28.0,19.765208492,0.74,0.74,0.13
9.52,56.0,51.95891136,0.59,0.42,0.17
6.0,28.0,40.0585556,0.66,0.47,0.2
8.87,56.0,48.71837416,0.58,0.44,0.16
11.83,100.0,55.6407132,0.58,0.43,0.15
0.0,7.0,12.05204048,0.78,0.78,0.12
6.65,56.0,47.13257936,0.85,0.54,0.12
12.8,100.0,51.0556978,0.63,0.45,0.13
11.83,28.0,48.28400428,0.58,0.43,0.15
10.0,28.0,13.293786756,1.34,0.6,0.08
11.66,14.0,33.70158688,0.72,0.4,0.12
0.0,3.0,6.46728488,0.82,0.82,0.13
0.0,7.0,14.638264956,0.97,0.58,0.11
4.63,100.0,35.34253976,0.85,0.56,0.13
23.4,28.0,56.69561148,0.34,0.27,0.2
0.0,7.0,17.236210524,0.73,0.44,0.15
0.0,270.0,53.300631656,0.6,0.6,0.24
16.5,3.0,33.39821744,0.36,0.29,0.24
18.3,28.0,36.349864196,1.1,0.36,0.09
0.0,90.0,41.542997428,0.53,0.48,0.28
0.0,90.0,35.17017076,0.58,0.58,0.19
13.13,28.0,44.02993736,0.41,0.31,0.19
0.0,7.0,30.9574724,0.63,0.63,0.17
6.35,14.0,24.42813468,0.75,0.51,0.14
3.0,28.0,39.37597436,0.44,0.4,0.26
9.73,3.0,15.81657944,0.99,0.4,0.1
