cement,cement_type,silica_fume,fly_ash,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,nano_caco3,nano_al2o3,nano_tio2,nano_sio2,filler,sand,sand_type,sand_max_size,water,sp_type,sp_amount,curing_method,curing_temp,cs_28d
839.0,OPC_I,104.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,925.0,,,147.0,PCE_SP,59.33,Standard Curing,,132.0
839.0,OPC_I,104.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,931.0,,,147.0,PCE_SP,59.33,Standard Curing,,122.5
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,931.0,,,147.0,PCE_SP,62.15,Standard Curing,,116.0
839.0,OPC_I,104.0,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.0,,,147.0,PCE_SP,64.98,Standard Curing,,134.0
839.0,OPC_I,104.0,26.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,,,147.0,PCE_SP,64.98,Standard Curing,,131.5
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,,,147.0,PCE_SP,67.8,Standard Curing,,130.5
839.0,OPC_I,104.0,83.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,,,147.0,PCE_SP,59.33,Standard Curing,,134.5
839.0,OPC_I,104.0,62.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,,,147.0,PCE_SP,62.15,Standard Curing,,132.5
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,926.0,,,147.0,PCE_SP,64.98,Standard Curing,,123.0
839.0,OPC_I,104.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,923.0,,,147.0,PCE_SP,67.8,Standard Curing,,131.0
