,cement,cement_type,cement_grade,silica_fume,fly_ash,fly_ash_type,limestone_powder,quartz_powder,glass_powder,rice_husk_ash,metakaolin,ggbfs,slag,slag_type,nano_caco3,nano_al2o3,nano_tio2,nano_sio2,filler,filler_type,sand,sand_type,sand_max_size,fiber1_type,fiber1_amount,fiber1_length,fiber1_diameter,fiber2_type,fiber2_amount,water,sp_type,sp_amount,curing_method,curing_temp,cs_28d,cement_type_clean
0,839.0,OPC_unknown,,104.0,52.0,class F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,52.0,Pumicite,925.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,59.33,Standard Curing,,132.0,OPC_I
1,839.0,OPC_unknown,,104.0,26.0,class F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,78.0,Pumicite,931.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,59.33,Standard Curing,,122.5,OPC_I
2,839.0,OPC_unknown,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,104.0,Pumicite,931.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,62.15,Standard Curing,,116.0,OPC_I
3,839.0,OPC_unknown,,104.0,52.0,class F,0.0,0.0,0.0,0.0,52.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,913.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,64.98,Standard Curing,,134.0,OPC_I
4,839.0,OPC_unknown,,104.0,26.0,class F,0.0,0.0,0.0,0.0,78.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,921.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,64.98,Standard Curing,,131.5,OPC_I
5,839.0,OPC_unknown,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,104.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,922.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,67.8,Standard Curing,,130.5,OPC_I
6,839.0,OPC_unknown,,104.0,83.0,class F,0.0,0.0,0.0,0.0,0.0,21.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,920.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,59.33,Standard Curing,,134.5,OPC_I
7,839.0,OPC_unknown,,104.0,62.0,class F,0.0,0.0,0.0,0.0,0.0,42.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,921.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,62.15,Standard Curing,,132.5,OPC_I
8,839.0,OPC_unknown,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,52.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,52.0,Pumicite,926.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,64.98,Standard Curing,,123.0,OPC_I
9,839.0,OPC_unknown,,104.0,0.0,not_applicable,0.0,0.0,0.0,0.0,62.0,21.0,0.0,not_applicable,0.0,0.0,0.0,0.0,21.0,Pumicite,923.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,67.8,Standard Curing,,131.0,OPC_I
10,839.0,OPC_unknown,,94.0,0.0,not_applicable,0.0,0.0,0.0,0.0,94.0,21.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,926.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,67.8,Standard Curing,,130.0,OPC_I
11,755.0,OPC_unknown,,94.0,0.0,not_applicable,0.0,0.0,0.0,0.0,94.0,105.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,928.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,64.98,Standard Curing,,111.5,OPC_I
12,839.0,OPC_unknown,,78.0,0.0,not_applicable,0.0,0.0,0.0,0.0,104.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,26.0,Pumicite,940.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,62.15,Standard Curing,,119.0,OPC_I
13,839.0,OPC_unknown,,78.0,0.0,not_applicable,0.0,0.0,0.0,0.0,130.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,934.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,64.98,Standard Curing,,121.0,OPC_I
14,839.0,OPC_unknown,,52.0,0.0,not_applicable,0.0,0.0,0.0,0.0,156.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,946.0,unknown_type,,Straight Steel Fiber,119.0,13.0,0.2,not_applicable,0.0,147.0,PCE_SP,62.15,Standard Curing,,116.0,OPC_I
15,856.0,OPC_unknown,42.5,214.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1178.0,Quartz Sand,0.8,Straight Steel Fiber,160.0,13.0,0.2,not_applicable,0.0,182.0,HRWRA,24.6,Standard Curing,20.0,157.0,OPC_42.5
16,589.0,OPC_unknown,42.5,214.0,161.0,class F,0.0,0.0,0.0,0.0,0.0,107.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1178.0,Quartz Sand,0.8,Straight Steel Fiber,160.0,13.0,0.2,not_applicable,0.0,182.0,HRWRA,16.1,Standard Curing,20.0,164.0,OPC_42.5
17,375.0,OPC_unknown,42.5,214.0,161.0,class F,0.0,0.0,0.0,0.0,0.0,321.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1178.0,Quartz Sand,0.8,Straight Steel Fiber,160.0,13.0,0.2,not_applicable,0.0,182.0,HRWRA,9.1,Standard Curing,20.0,144.0,OPC_42.5
18,1000.0,OPC_unknown,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,not_applicable,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,162.0,OPC_52.5
19,900.0,OPC_unknown,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,100.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,167.0,OPC_52.5
20,800.0,OPC_unknown,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,200.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,157.0,OPC_52.5
21,700.0,OPC_unknown,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,300.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,156.0,OPC_52.5
22,500.0,OPC_unknown,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,500.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,152.0,OPC_52.5
23,300.0,OPC_unknown,52.5,250.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,700.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,132.0,OPC_52.5
24,1000.0,OPC_unknown,52.5,175.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,75.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,168.0,OPC_52.5
25,1000.0,OPC_unknown,52.5,125.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,125.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,152.0,OPC_52.5
26,1000.0,OPC_unknown,52.5,75.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,175.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,150.0,OPC_52.5
27,1000.0,OPC_unknown,52.5,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,0.0,0.0,0.0,0.0,250.0,Recycled Brick Powder,1250.0,Silica Sand,0.3,Straight Steel Fiber,156.0,12.0,0.2,not_applicable,0.0,225.0,PCE_SP,24.8,Standard Curing,20.0,147.0,OPC_52.5
