Experiment,Model,MAE,RMSE,R2
BaseRaw,XGBRegressor,10.199256728183036,14.080154882763734,0.8607052967012472
BaseRaw,HistGradientBoostingRegressor,10.236855956461806,14.215627379346895,0.8580119480397757
BaseRaw,AdaBoostRegressor,15.901969986243293,19.91616219399237,0.7213037999242048
GridSCV,XGBRegressor,8.83743877070879,11.947027809548215,0.9026529452844697
GridSCV,HistGradientBoostingRegressor,9.421440485642025,12.97217146040621,0.8852299878225831
GridSCV,AdaBoostRegressor,15.582629107922422,19.85617811484719,0.7310977805320164
No Fiber,XGBRegressor,12.446963850129853,17.369613535399377,0.7942293741474146
No Fiber,HistGradientBoostingRegressor,12.808587144295497,17.374845403776668,0.7941053959180538
No Fiber,AdaBoostRegressor,17.2666250019752,22.381358885366666,0.6583542917977534
Out5std,XGBRegressor,8.778013171272514,11.79752465887559,0.9050740713357668
Out5std,HistGradientBoostingRegressor,9.872903988714361,13.388263569274335,0.8777492381929004
Out5std,AdaBoostRegressor,15.476905335217534,19.691279978238548,0.7355455000254709
