Mix-ID,Mix Constitutents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curing Regime ,,,,Workability ,,,Mechanical Properties ,,,,,,,,,,,,,,,,,,,,,,,,,,,Durability Properities ,,,,,,,,,,,,,,,Research Paper Details,,,
,Binder ,,,Supplementary Cementitious Materials (SCMs),,,,,,,,,,,Nano Particles ,,,,Sustainable Filler ,,Sand ,,, Fiber ,,,,,,Synergetic Fiber ,,,,,,Water,Superplasticizer ,,Curing,Temperature (o C),Humidity (%) ,Pressure (MPa),Testing Standard ,Slump (mm),Slump Flow (mm),Compressive Strength (Mpa),,,,,,,,,,Elastic Modulus ,,Tensile  Strength Parameters ,,,,,,,Flexural Strength  Parameters ,,,,,,,,Air Content/Air Void/ Porosity ,,,,Water absorption,,Shrinkage (µ?),,,Freezing and Thawing,,Rapid Chloride Permeability Test,,Surface Resistivity,,Country of Origin ,"Reference details/Data sources
",Year of Publish ,"Research paper reference in dataset
"
,Cement Amount  (kg/m³),Cement type	,Cement Grade (Mpa),Silica Fume (kg/m³),Flayash Amount   (kg/m³),Fly Ash Type ,Limestone Powder  (kg/m3),Quartzpowder (kg/m3),Glass powder (kg/m3),Rice husk ash (kg/m3),Metakaolin (kg/m³),GGBFS  (kg/m³),Slag Amount   (kg/m³),Type of Slag ,Nano-CaCO3 (kg/m3),Nano-Al2O3 (kg/m3),Nano-TiO2 (kg/m3),Nano Silica (kg/m3),Filler (kg/m³),Type of Filler ,Amount  (kg/m³),Sand Type,Max Size (mm),Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Type of Fiber ,Amount / Quantity of Fiber ,Length (mm),Diameter (mm),Tensile Strength (MPa),"Nominal Young’s modulus, Gpa",Amount  (kg/m³),Type of Superplasticizer,Amount  (kg/m³),,,,,,,,Specimen ,Testing Standard ,1-day ,3-Day,7-Day,14-Day,21 days ,28-Day,56-Day,90-Day,Testing Standard ,Elastic Modulus (Gpa),Testing Standards ,Split Tensile Strength (Mpa),first-cracking strength (MPa),Direct Tensile Strength (Mpa),Peak tensile strain (%),Tensile Elastic Modulus (GPa),Strain capacity (%) ,Specimens ,Testing Standard ,LOP (Mpa), MOR (MPa),Peak Strength (MPa),"Residual 
Strength (f600)
 (MPa)","Residual 
Strength (f150)
 (MPa)","Toughness
 (J)",Testing Standards ,Air Content %,Air Void %,Porosity ,Testing Standards ,Water absorption (%),Testing Standards ,28-day Shrinkage (µstrain),56-day Shrinkage (µstrain),Testing Standards ,Cycles ,Testing Standards ,Total Charge Passed (Coulombs),Testing Standards ,Surface Resistivity (k?-mm),,,,
S10-F10,839.00,Type I/II low-alkali portland cement,,104.00,104.00,Class-F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,919.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,56.50,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",120.00,380.00,100 x 100 x 100 ,BS1881,,,115.00,,,135.00,156.50,,,,,,,,,,,76×102×406,ASTM C1609,,18.65,19.55,18.55,10.85,67.00,,,,,,,ASTM C157,270.00,371.00,ASTM C666,105.00,ASTM C1202,165.00,AASHTO T 358,386.00,USA,"Alternative Supplementary Cementitious Materials in Ultra-High Performance Concrete


*** https://repository.lsu.edu/transet_pubs/145/

https://zenodo.org/records/7930423",2022,Ref-1-data
S10-F5-N5,839.00,Type I/II low-alkali portland cement,,104.00,52.00,Class-F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,52.00,Pumicite,925.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,59.33,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",115.00,370.00,100 x 100 x 100 ,BS1881,,,104.50,,,132.00,156.50,,,,,,,,,,,76×102×406,ASTM C1609,,20.05,21.25,20.35,11.20,70.00,,,,,,,ASTM C157,242.00,317.00,ASTM C666,106.00,ASTM C1202,142.00,AASHTO T 358,424.00,,,,
S10-F2.5-N7.5,839.00,Type I/II low-alkali portland cement,,104.00,26.00,Class-F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,78.00,Pumicite,931.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,59.33,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",100.00,370.00,100 x 100 x 100 ,BS1881,,,102.50,,,122.50,155.50,,,,,,,,,,,76×102×406,ASTM C1609,,19.25,20.80,19.75,11.05,70.00,,,,,,,ASTM C157,223.00,290.00,ASTM C666,106.00,ASTM C1202,136.00,AASHTO T 358,463.00,,,,
S10-N10,839.00,Type I/II low-alkali portland cement,,104.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,104.00,Pumicite,931.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,62.15,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",100.00,370.00,100 x 100 x 100 ,BS1881,,,100.50,,,116.00,154.50,,,,,,,,,,,76×102×406,ASTM C1609,,18.75,20.00,18.70,10.15,67.00,,,,,,,,,,,,,,,,,,,
S10-F5-M5,839.00,Type I/II low-alkali portland cement,,104.00,52.00,Class-F,0.00,0.00,0.00,0.00,52.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,913.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",130.00,380.00,100 x 100 x 100 ,BS1881,,,108.50,,,134.00,151.50,,,,,,,,,,,76×102×406,ASTM C1609,,19.50,20.90,20.05,10.25,68.00,,,,,,,ASTM C157,231.00,286.00,ASTM C666,106.00,ASTM C1202,135.00,AASHTO T 358,437.00,,,,
S10-F2.5-M7.5,839.00,Type I/II low-alkali portland cement,,104.00,26.00,Class-F,0.00,0.00,0.00,0.00,78.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,921.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,64.98,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",115.00,370.00,100 x 100 x 100 ,BS1881,,,108.50,,,131.50,152.00,,,,,,,,,,,76×102×406,ASTM C1609,,19.20,20.50,19.60,9.95,67.00,,,,,,,ASTM C157,190.00,242.00,ASTM C666,107.00,ASTM C1202,124.00,AASHTO T 358,520.00,,,,
S10-M10,839.00,Type I/II low-alkali portland cement,,104.00,0.00,,0.00,0.00,0.00,0.00,104.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,922.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,67.80,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",110.00,370.00,100 x 100 x 100 ,BS1881,,,107.00,,,130.50,152.50,,,,,,,,,,,76×102×406,ASTM C1609,,18.85,20.40,19.50,6.70,63.00,,,,,,,ASTM C157,198.00,229.00,ASTM C666,109.00,ASTM C1202,119.00,AASHTO T 358,603.00,,,,
S10-F8-G2,839.00,Type I/II low-alkali portland cement,,104.00,83.00,Class-F,0.00,0.00,0.00,0.00,0.00,21.00,0.00,,0.00,0.00,0.00,0.00,0.00,,920.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,59.33,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",120.00,380.00,100 x 100 x 100 ,BS1881,,,112.50,,,134.50,156.50,,,,,,,,,,,76×102×406,ASTM C1609,,18.60,19.50,18.45,10.70,67.00,,,,,,,ASTM C157,293.00,377.00,ASTM C666,105.00,ASTM C1202,162.00,AASHTO T 358,395.00,,,,
S10-F6-G4,839.00,Type I/II low-alkali portland cement,,104.00,62.00,Class-F,0.00,0.00,0.00,0.00,0.00,42.00,0.00,,0.00,0.00,0.00,0.00,0.00,,921.00,,,Straight Steel Fiber ,119.00,13.00,0.200,1900.000,,,,,,,,147.00,Polycarboxylate-based HRWRA,62.15,Standard Curing ,,,,"ASTM C143 for Slump
ASTM C1611 for Slump Flow ",110.00,370.00,100 x 100 x 100 ,BS1881,,,110.50,,,132.50,155.50,,,,,,,,,,,76×102×406,ASTM C1609,,18.50,19.30,17.95,10.25,66.00,,,,,,,ASTM C157,312.00,406.00,ASTM C666,106.00,ASTM C1202,155.00,AASHTO T 358,412.00,,,,
